player,team,packet_id,case_type,current_npb_plus_sprint_speed_kmh,current_band,reason_codes,minimum_independent_source_count,accepted_raw_source_count,rejected_raw_source_count,accepted_independent_source_count,accepted_independent_sns_source_count,strict_sns_minimum_met,consensus_classification,decision_constraint,video_tiebreak_recommended,weighted_evidence_reason,short_reason,accepted_source_record_ids,rejected_source_record_ids
西野 真弘,オリックス・バファローズ,P009,TYPE_A_CURRENT_SAMPLE_INSTABILITY,31.6,B4_MID_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,0,2,0,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,再投稿の一般プロフィールと走塁・バントの候補しか確認できず、現在の純粋な走力を示す独立SNSが最低2件に届かない。,独立SNSの速度観察不足。,[],"[""SNSR001"",""SNSR002""]"
カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,31.3,B5_MID_LOWER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,1,1,1,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2024年の補助記事は速い方向を示すが、2025年SNSは走塁意識・積極性に偏り、物理走速度として独立2件を満たさない。,SNS最低件数に未達。,"[""SNSR004""]","[""SNSR003""]"
土田 龍空,中日ドラゴンズ,P011,TYPE_A_CURRENT_SAMPLE_INSTABILITY,31.2,B6_LOWER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,2,1,2,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,遅い方向の公開コメントと2021年の補助証言はあるが、現在時点の独立SNSは1件のみで、高校時代の一塁到達は別構成のため使わない。,現在SNSが1起源のみ。,"[""SNSR005"",""SNSR006""]","[""SNSR007""]"
大島 洋平,中日ドラゴンズ,P012,TYPE_A_CURRENT_SAMPLE_INSTABILITY,31.7,B4_MID_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,1,2,1,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2026年の実走観察と補助記事は現行帯と整合するが、独立SNSは1件だけで、速度の最低件数を満たさない。,SNS最低件数に未達。,"[""SNSR010""]","[""SNSR008"",""SNSR009""]"
木下 拓哉,中日ドラゴンズ,P014,TYPE_A_CURRENT_SAMPLE_INSTABILITY,29.4,B8_SLOWEST_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,1,1,1,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2026年の同一走行に対する複数コメントは一つの出来事群として扱うため、独立SNSの最低2起源には届かない。,同一出来事群のみ。,"[""SNSR011""]","[""SNSR012""]"
友杉 篤輝,千葉ロッテマリーンズ,P031,TYPE_B_PHYSICAL_ORDER_CONFLICT,32.7,B2_UPPER_COHORT_OCTILE,COHORT_ORDER_CONFLICT_WITH_CURRENT_NPB_ORDINAL,2,0,3,0,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2026年の一具体例は現行帯と整合するが、同日の同一映像に集中している。歴史的測定と現NPB+の相対順を方向的に解消する独立SNSはない。,同一映像以外のSNS不足。,[],"[""SNSR013"",""SNSR014"",""SNSR015""]"
岡 大海,千葉ロッテマリーンズ,P035,TYPE_A_CURRENT_SAMPLE_INSTABILITY,32.6,B2_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,0,3,0,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,確認できた公式投稿はホームイン又はランニング本塁打の走塁結果であり、守備・走塁文脈から純粋な走力を分離できない。有効な独立SNS速度観察は残らない。,走塁結果を除外するとSNS根拠なし。,[],"[""SNSR016"",""SNSR017"",""SNSR018""]"
藤岡 裕大,千葉ロッテマリーンズ,P037,TYPE_A_CURRENT_SAMPLE_INSTABILITY,30.8,B6_LOWER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,0,2,0,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2024年から2026年の純粋な走力を示すSNS観察を確認できない。古い短距離プロフィールや故障情報から現在の速さを推定しない。,有効な現在SNSなし。,[],"[""SNSR019"",""SNSR020""]"
外崎 修汰,埼玉西武ライオンズ,P040,TYPE_A_CURRENT_SAMPLE_INSTABILITY,32.3,B3_UPPER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,1,1,1,0,false,INSUFFICIENT_SNS_EVIDENCE,widen uncertainty,true,2026年のコーチ証言は過去比の低下と速い初動を併記するが、独立SNSは0件で、術後の現在直線走を確認できない。,SNS不足と時点の混在。,"[""SNSR021""]","[""SNSR022""]"
矢野 雅哉,広島東洋カープ,P049,TYPE_A_CURRENT_SAMPLE_INSTABILITY,30.7,B6_LOWER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,1,2,1,0,false,INSUFFICIENT_SNS_EVIDENCE,widen uncertainty,true,2024年の走行描写と2025年の補助紹介は速い方向だが、独立SNSは1件で、2026年の現在走力を確定できない。,速い方向だがSNS1件。,"[""SNSR024""]","[""SNSR023"",""SNSR025""]"
野間 峻祥,広島東洋カープ,P052,TYPE_A_CURRENT_SAMPLE_INSTABILITY,31.7,B4_MID_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,3,1,3,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,独立した3起源は速い方向で整合するが、SNSは1件のみで、現行帯の変更又は細順位を制約するには足りない。,補助記事はあるがSNS1件。,"[""SNSR027"",""SNSR028"",""SNSR029""]","[""SNSR026""]"
並木 秀尊,東京ヤクルトスワローズ,P054,TYPE_A_CURRENT_SAMPLE_INSTABILITY,33.8,B1_FASTEST_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,3,2,3,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,直接確認できるSNSは1件。2票目は原投稿・文脈・日付を再確認できない検索索引であるため、補助記事が同方向でもSNS最低件数を満たさない。,再現不能な検索索引を除外。,"[""SNSR031"",""SNSR032"",""SNSR033""]","[""SNSR030"",""SNSR034""]"
中村 悠平,東京ヤクルトスワローズ,P055,TYPE_A_CURRENT_SAMPLE_INSTABILITY,30.4,B7_LOWER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,0,2,0,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2024年から2026年に本人の加速又は直線走を直接観察した有効SNSを回収できない。古い自己評価と他選手の速度記述は使わない。,対象本人の有効SNSなし。,[],"[""SNSR035"",""SNSR036""]"
塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,32.3,B3_UPPER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,1,1,1,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,現在も速いという公開投稿は1件あるが、復帰後の加速・直線走を独立して確認するSNSが不足する。故障や総合活躍予測は速度の代替にしない。,復帰後のSNS速度観察不足。,"[""SNSR037""]","[""SNSR038""]"
鈴木 大地,東北楽天ゴールデンイーグルス,P065,TYPE_A_CURRENT_SAMPLE_INSTABILITY,29,B8_SLOWEST_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,2,1,2,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,現行帯と整合する遅い方向のSNSと単発記事はあるが、独立SNSは1件で、単一事象を平常速度へ一般化しない。,SNS1件で単発事象のみ。,"[""SNSR040"",""SNSR041""]","[""SNSR039""]"
林 琢真,横浜DeNAベイスターズ,P071,TYPE_B_PHYSICAL_ORDER_CONFLICT,32,B3_UPPER_MID_COHORT_OCTILE,COHORT_ORDER_CONFLICT_WITH_CURRENT_NPB_ORDINAL,2,2,1,2,0,false,METRIC_CONSTRUCT_CONFLICT,still unresolved,true,2025年の現在の俊足評価と2022年の短距離記録は、現NPB+順序とは別の構成を示す。距離・時点・測定構成を数値変換せず、映像確認へ残す。,歴史的短距離値と現順位は別構成。,"[""SNSR042"",""SNSR043""]","[""SNSR044""]"
梶原 昂希,横浜DeNAベイスターズ,P072,TYPE_A_CURRENT_SAMPLE_INSTABILITY,33.4,B1_FASTEST_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,3,1,3,1,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,2024年から2025年のSNS1件と補助記事は速い方向で一致するが、独立SNSが2件に達しない。短距離値は別指標に変換しない。,SNS1件で現行最速帯を確定しない。,"[""SNSR046"",""SNSR047"",""SNSR048""]","[""SNSR045""]"
丸 佳浩,読売ジャイアンツ,P086,TYPE_A_CURRENT_SAMPLE_INSTABILITY,31.4,B5_MID_LOWER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,2,0,2,0,0,false,INSUFFICIENT_SNS_EVIDENCE,still unresolved,true,走行結果や痛みの候補はあるが、2024年から2026年の純粋な身体速度を直接示す独立SNS又は補助観察を確認できない。,有効な身体速度根拠なし。,[],"[""SNSR049"",""SNSR050""]"
