source	section	task_ids
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 1 PowerPro temporal/stale/inertia	SP-041,SP-042,SP-043,SP-044,SP-045,SP-046
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 2 context-inclusive acceleration	SP-007,SP-005,SP-060,SP-061,SP-062
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 3 The Show→PowerPro bridge	SP-052,SP-053
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 4 Prospi integration	SP-054,SP-055,SP-056
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 5 Community appraisal	SP-030,SP-031,SP-032,SP-033,SP-034,SP-035,SP-036,SP-037,SP-038,SP-039
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 6 Owner review	SP-073,SP-074,SP-075,SP-077,SP-078
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 7 practical reappraisal	SP-079
docs/satei_handoff/18_CURRENT_CRITICAL_PATH_SPEED_REBUILD_20260811.md	Phase 8 Validation	SP-080,SP-081,SP-082
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.1 PowerPro temporal policy	SP-041,SP-042,SP-043,SP-044,SP-045
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.3 H2F/acceleration	SP-005,SP-007
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.4 mixed practical evidence	SP-007,SP-060,SP-061,SP-062
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.5 Rating Consensus	SP-032,SP-035,SP-036,SP-037
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.6 YouTube/official rating comments	SP-033,SP-034,SP-035
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.9 The Show→PowerPro bridge	SP-052,SP-053
docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md	2.10 Prospi	SP-054,SP-055,SP-056
_codex_task_20260805_all_missing_data.md	走力 speed children	SP-020,SP-005,SP-007,SP-060,SP-061,SP-062,SP-063
_codex_result_20260805_missing_data.md	status=調査中 / not-found coverage pending	SP-063
docs/audits/speed_rebuild_independent_red_team_20260812.md	missing DoD / control / full-roster consistency	SP-001,SP-072,SP-080
docs/satei_handoff/22_CURRENT_STATE_AND_AUTONOMOUS_CONTINUATION_20260813.md	current autonomous continuation	SP-013,SP-014,SP-070,SP-071,SP-073,SP-074,SP-075,SP-077,SP-079,SP-081
