player,team,current_npb_plus_sprint_speed_kmh,current_band,reason_codes,confirmation_target,decision_hypothesis,comparison_anchors,recommended_period,minimum_independent_source_count,status
西野 真弘,オリックス・バファローズ,31.6,B4_MID_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""度会 隆輝"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""slower"":{""player"":""秋山 翔吾"",""value"":31.6,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""宗 佑磨"",""value"":31.9},{""player"":""山口 航輝"",""value"":31.9},{""player"":""モンテロ"",""value"":31.9}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
カリステ,中日ドラゴンズ,31.3,B5_MID_LOWER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""松本 剛"",""value"":31.4,""band"":""B5_MID_LOWER_COHORT_OCTILE""},""slower"":{""player"":""佐藤 都志也"",""value"":31.3,""band"":""B5_MID_LOWER_COHORT_OCTILE""},""same_band"":[{""player"":""長岡 秀樹"",""value"":31.6},{""player"":""牧 秀悟"",""value"":31.6},{""player"":""小園 海斗"",""value"":31.5}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
土田 龍空,中日ドラゴンズ,31.2,B6_LOWER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""森 友哉"",""value"":31.2,""band"":""B5_MID_LOWER_COHORT_OCTILE""},""slower"":{""player"":""近藤 健介"",""value"":31.2,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""近藤 健介"",""value"":31.2},{""player"":""西川 龍馬"",""value"":31.1},{""player"":""ポランコ"",""value"":31.1}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
大島 洋平,中日ドラゴンズ,31.7,B4_MID_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""太田 椋"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""slower"":{""player"":""奈良間 大己"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""宗 佑磨"",""value"":31.9},{""player"":""山口 航輝"",""value"":31.9},{""player"":""モンテロ"",""value"":31.9}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
木下 拓哉,中日ドラゴンズ,29.4,B8_SLOWEST_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""高橋 周平"",""value"":29.5,""band"":""B8_SLOWEST_COHORT_OCTILE""},""slower"":{""player"":""山川 穂高"",""value"":29.4,""band"":""B8_SLOWEST_COHORT_OCTILE""},""same_band"":[{""player"":""海野 隆司"",""value"":30.3},{""player"":""筒香 嘉智"",""value"":30.2},{""player"":""坂本 誠志郎"",""value"":30.2}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
友杉 篤輝,千葉ロッテマリーンズ,32.7,B2_UPPER_COHORT_OCTILE,COHORT_ORDER_CONFLICT_WITH_CURRENT_NPB_ORDINAL,Resolve whether the current NPB+ ordinal and the historical same-cohort physical order can be reconciled without a unit conversion.,Historical 50m and current in-game NPB+ may reflect different eras or measurement constructs; do not force a numerical bridge.,"{""faster"":{""player"":""郡司 裕也"",""value"":32.7,""band"":""B2_UPPER_COHORT_OCTILE""},""slower"":{""player"":""中川 圭太"",""value"":32.6,""band"":""B2_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""福永 裕基"",""value"":33},{""player"":""藤原 恭大"",""value"":33},{""player"":""滝澤 夏央"",""value"":33}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
岡 大海,千葉ロッテマリーンズ,32.6,B2_UPPER_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""中川 圭太"",""value"":32.6,""band"":""B2_UPPER_COHORT_OCTILE""},""slower"":{""player"":""石井 一成"",""value"":32.6,""band"":""B2_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""福永 裕基"",""value"":33},{""player"":""藤原 恭大"",""value"":33},{""player"":""滝澤 夏央"",""value"":33}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
藤岡 裕大,千葉ロッテマリーンズ,30.8,B6_LOWER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""山本 祐大"",""value"":31,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""slower"":{""player"":""サンタナ"",""value"":30.8,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""土田 龍空"",""value"":31.2},{""player"":""近藤 健介"",""value"":31.2},{""player"":""西川 龍馬"",""value"":31.1}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
外崎 修汰,埼玉西武ライオンズ,32.3,B3_UPPER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""丸山 和郁"",""value"":32.4,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""slower"":{""player"":""塩見 泰隆"",""value"":32.3,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""岡林 勇希"",""value"":32.5},{""player"":""吉川 尚輝"",""value"":32.5},{""player"":""来田 涼斗"",""value"":32.4}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
矢野 雅哉,広島東洋カープ,30.7,B6_LOWER_MID_COHORT_OCTILE,SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED,Obtain a second independent current-season speed observation or published NPB+ sample/qualified-run count.,The public current NPB+ rank may be unstable because PA is under 100 and run-count metadata are not published.,"{""faster"":{""player"":""若月 健矢"",""value"":30.7,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""slower"":{""player"":""石川 昂弥"",""value"":30.6,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""土田 龍空"",""value"":31.2},{""player"":""近藤 健介"",""value"":31.2},{""player"":""西川 龍馬"",""value"":31.1}]}",2026 regular season; retain source date and measurement definition with every check,2,SNS_TIEBREAK
