club_id	club	english	query_formulations	searched_domains_source_families	year_coverage	scope_checked	retained_event_ids	negative_search_result	second_pass_discovery_result	closure_reason	status
NPB-01	広島東洋カープ	Hiroshima Toyo Carp	site:carp.co.jp 球団史 アカデミー 育成; Hiroshima Carp academy history international pipeline; second-pass academy governance facility	carp.co.jp; Hiroshima International Center historical PDF; NPB club context	1950-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-009	No additional high-confidence mechanism beyond academy/pipeline and Wave 1 transactions.	Carp Academy 1990 start and Dominican Republic promotion context were found; no distinct contract, medical, or governance mechanism.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-02	阪神タイガース	Hanshin Tigers	site:hanshintigers.jp ファーム 移転 育成 歴史; Hanshin farm facility relocation; second-pass stadium dormitory academy	hanshintigers.jp; hankyu-hanshin integrated report; NPB farm sources	1935-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-010	No distinct club-specific integrity, medical, or international-pipeline mechanism met the evidence threshold.	2025 Oda-Minami/SGL Stadium farm relocation with indoor facilities and dormitory was confirmed.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-03	読売ジャイアンツ	Yomiuri Giants	site:giants.jp Giants Way 育成 ファーム G Town; player development facilities U-15; second-pass methods data coaching	giants.jp; Tokyo Giants Town; NPB draft/development records	1934-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-011	No separate mechanism beyond development methods, facilities, academy/community network.	Giants Way confirmed V9, development-player system, training methods, U-15, and knowledge-sharing; G Town corroborated facility expansion.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-04	東京ヤクルトスワローズ	Tokyo Yakult Swallows	site:yakult-swallows.co.jp/company/history ID野球 1990; Nomura data baseball; second-pass research staff culture analytics	yakult-swallows.co.jp official history/company	1950-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-013	No distinct new injury, finance, scandal, or contract mechanism.	1990-92 staged ID baseball/opponent-research transformation confirmed.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-05	横浜DeNAベイスターズ	Yokohama DeNA BayStars	site:baystars.co.jp/corporate/history farm partnership Arizona DOCK; D-backs strategic partnership; second-pass Yokosuka local market	baystars.co.jp history/releases; D-backs partnership; Yokosuka facility	1949-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-012	Facility and overseas partnership overlapped existing knowledge-transfer domains; no new medical/contract mechanism.	2019 Arizona partnership, 2018 Canberra partnership, 2019 DOCK, and ownership/ballpark history confirmed.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-06	中日ドラゴンズ	Chunichi Dragons	site:dragons.jp/about/company academy farm history; Dragons academy; second-pass scouting coaching analytics	dragons.jp company/farm; NPB club context	1936-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	-	Official material confirmed a 2015 academy, but no mechanism beyond existing academy/community requirements met the distinct-event threshold.	Academy establishment and current farm organization confirmed; no new contract, international, medical, or integrity mechanism.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-07	福岡ソフトバンクホークス	Fukuoka SoftBank Hawks	site:softbankhawks.co.jp 4軍制 育成 データ; four-team coordinators AI; second-pass farm capacity sponsor fan development	softbankhawks.co.jp; Hawks history; NPB farm	1938-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-015	No separate mechanism beyond four-team capacity, coordinators, data/AI, sponsor/fan integration.	Official announcement confirmed 122 players, 229 planned games, cross-level coordinators, data-science links, AI broadcasts.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_SATURATED
NPB-08	北海道日本ハムファイターズ	Hokkaido Nippon-Ham Fighters	site:fighters.co.jp farm history facility development ES CON; second-team relocation; second-pass academy scouting analytics	fighters.co.jp; Nippon-Ham IR/annual reports; NPB sources	1946-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNN-043	Wave 1 already covered ES CON Field/village; no additional official mechanism retained.	Farm pages and corporate materials checked; secondary relocation material not promoted without stronger official confirmation.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-09	千葉ロッテマリーンズ	Chiba Lotte Marines	site:marines.co.jp/farm stadium Kimitsu; farm facility regional partnership; second-pass Kimitsu community plan	marines.co.jp; Kimitsu municipal plan linked by official farm project; NPB farm	1950-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-016	No new player-market or integrity mechanism beyond facility/community planning.	Kimitsu facility plan, friendship-city agreement, and community programs confirmed.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
NPB-10	埼玉西武ライオンズ	Saitama Seibu Lions	site:seibulions.jp/farm 三軍; third-team farm regional games; second-pass facility staff development schedule	seibulions.jp farm/company; Seibu annual/facility sources	1950-2026	roster/trade/FA; draft/scouting; development/farm/academy; international; staff/analytics; injury/medical; ownership/finance/stadium/fans/media; reputation/integrity; unusual institutional history	PNW2-017	No distinct new contract, medical, international, or integrity mechanism.	Official 2026 second/third-team schedules, regional games, and operations confirmed.	Club-level search receipt complete for this pass; remaining open cells are not silently closed.	SEARCHED_NEEDS_MORE
