dimension	user_question	PowerPro	Prospi	MLB_The_Show	cross_game_signal	pw_mapping	open_domains	cross_game_read	evidence_ids	confidence
long_save_identity	何が長期セーブを続ける理由か	無期限運用、現役ドラフト、新人、外国人の物語	30年、年俸・年度記録・殿堂、CPU選手の物語	20年運用、歴史・拡張・長期契約の要望	PRAISE+REQUEST	PW-001-PW-004;PW-187-PW-221	OD-12	長期の価値は年数ではなく、結果が記録と物語に残ること	E001;E002;E036;E039-E045;E083;E095	HIGH
cpu_org_behavior	CPUはどのような組織行動を望まれるか	ドラフト偏重、外国人放出、資金不足への不満	年数後の獲得・放出停止疑い	打順・ブルペン・トレードの過剰/硬直	COMPLAINT	PW-007-PW-009;PW-053-PW-075;PW-236	OD-01;OD-15	強さより、球団目的・情報・資源が継続して働くことが問題	E004;E010;E019-E022;E041-E042;E071;E076-E082;E086-E089	HIGH
trade_market	売買がどう発生し、拒否理由が見えるか	低頻度と理由不足	個別要望・期限UX中心	公式の球団別評価・反提案と、実体験の不透明さ	COMPLAINT+REQUEST	PW-124-PW-140;PW-236	OD-16	件数を増減するのではなく、必要・余剰・契約・時期・本人意思を結ぶ必要	E006;E023-E024;E047-E049;E067-E068;E076;E078;E080-E082;E086-E088	HIGH
fa_contracts	FA・契約が長期物語に与える影響	海外FA補償なし、年俸・資金、契約更改エラー	年俸・予算の記録価値、現行感情は薄い	FA刷新とオプション/条項欠落の対立	TRADEOFF+REQUEST	PW-124-PW-140;PW-253-PW-254	OD-06;OD-07	条件の多さではなく、選手価値・役割・不確実性を比較可能にする必要	E013;E015;E024;E039-E040;E066;E074;E096-E098	MEDIUM
draft_prospects	候補の発見・指名・育成が面白いか	現役ドラフト・新人肯定、CPU投手/捕手偏重	意外なCPUスター、停止疑い、2軍表示要望	潜在力偏重、候補・ファーム指標の不満	PRAISE+COMPLAINT	PW-053-PW-075;PW-237;PW-238;PW-260	OD-01;OD-08	候補の偶然性は残し、見落としと組織判断を後から追える必要	E008;E019-E021;E027-E030;E041-E045;E054;E082;E084;E088-E091	HIGH
development_aging	成長・衰退をどう感じるか	特殊能力消失、OB高齢化、外国人高齢化	ベテラン衰退・候補停滞	年齢急落、若手過信、回帰スライダー	COMPLAINT+REQUEST	PW-015-PW-035;PW-088-PW-094;PW-251-PW-255	OD-04;OD-17	絶対能力、評価、状態、役割、時代を一つの隠し値にしない必要	E014;E016;E028;E041-E042;E054;E071-E072;E085;E089-E091	HIGH
injury_fatigue	怪我・疲労が長期判断に働くか	直接証拠が薄い	救援疲労・進行不整合の単発報告	ブルペン・怪我・オープナーの公式/要望	MIXED	PW-205-PW-212;PW-222-PW-229	OD-01;OD-10	現状は設計結論でなく、再現性のある運用AI・日程課題	E053;E055;E069;E085	LOW
stats_realism	成績が能力・役割・時代をどう反映するか	打低・四球・配球の評価が割れる	能力の低い選手の成功物語、定量検証なし	K/9等シミュレーション尺度と回帰の議論	MIXED_CONTESTED	PW-004;PW-036-PW-047;PW-245	OD-02;OD-17	体感・手動・観戦・完全自動を別々に測る必要	E011-E012;E032;E034-E035;E043-E045;E073;E089-E091	MEDIUM
foreign_global	外国・海外市場が世界をどう動かすか	外国人放出・移籍・海外FAが主要不満	代表・アジア系外国人・国際大会の要望/不具合	国際FA・国際リーグの要望は薄い	COMPLAINT+REQUEST	PW-160-PW-186;PW-239-PW-242	OD-10;OD-13;OD-16	海外市場は単なる強化ボタンでなく、複数リーグと本人意思を含む必要	E004;E018;E024-E028;E042;E051-E052;E063;E079;E084	MEDIUM
farm_minors	2軍・マイナーが長期世界に果たす役割	2軍証拠は薄い	2軍成績表示要望	ファーム状態、マイナー成績、昇格・候補の議論	REQUEST	PW-025-PW-035;PW-053-PW-075	OD-08;OD-07	下部組織は候補の詰まり・移籍・成長を可視化する観測面になる	E027;E042;E063;E082;E084;E088-E091	MEDIUM
