order	player	team	powerpro_current	proposed_verdict	batch	strength	confidence	reason_code	preferred_rating_optional	capture_ready	rationale
1	中川 圭太	オリックス・バファローズ	74	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
2	太田 椋	オリックス・バファローズ	64	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
3	宗 佑磨	オリックス・バファローズ		UNRESOLVED	A_BULK_COMPATIBLE_OR_NO_TARGET	NO_CURRENT_POWERPRO_TARGET	HIGH	NO_CURRENT_POWERPRO_TARGET		false	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
4	来田 涼斗	オリックス・バファローズ	85	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
5	森 友哉	オリックス・バファローズ	65	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
6	紅林 弘太郎	オリックス・バファローズ	56	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
7	若月 健矢	オリックス・バファローズ	48	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
8	西川 龍馬	オリックス・バファローズ	72	POWERPRO_TOO_HIGH_OR_STALE	B_DIRECTIONAL_REVIEW	CURRENT_PEAK_PLUS_CONTEXT_CONCERN	LOW	CURRENT_PEAK_BELOW_AVERAGE_WITH_NO_POSITIVE_CONTEXT_CORROBORATION		false	Current peak is below average with adequate exposure, and S/game context is neutral-to-negative. There is no current acceleration/end-to-end measurement, so this remains only a low-confidence PP72-high concern.
9	西野 真弘	オリックス・バファローズ	76	POWERPRO_TOO_HIGH_OR_STALE	B_DIRECTIONAL_REVIEW	CONTEXT_SUPPORTED_HIGH_CONCERN	LOW	AVERAGE_UNDEREXPOSED_PEAK_AND_NEGATIVE_GAME_CONTEXT_DO_NOT_SUPPORT_PP76		false	Peak speed is about average and underexposed; S is slightly negative and game context is more clearly negative. This is a low-confidence PP76-high concern, not a peak-only strong verdict.
10	カリステ	中日ドラゴンズ	82	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	LOW_EXPOSURE_CURRENT_PEAK_WITH_HISTORICAL_DIRECT_SUPPORT	LOW	SEVEN_RUN_CURRENT_PEAK_CANNOT_OVERRIDE_2017_T10_T30_T90_DIRECT_PROFILE		false	Current peak has only seven proxy opportunities and may be understated. The 2017 T10/T30/T90/Sprint-Speed set is old but direct and internally coherent, and game context is slightly positive. PP82 is plausible with low current confidence, not proven high/stale.
11	土田 龍空	中日ドラゴンズ	66	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
12	大島 洋平	中日ドラゴンズ	74	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
13	岡林 勇希	中日ドラゴンズ	81	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
14	木下 拓哉	中日ドラゴンズ	39	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
15	村松 開人	中日ドラゴンズ	80	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
16	板山 祐太郎	中日ドラゴンズ	72	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
17	田中 幹也	中日ドラゴンズ	83	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
18	石川 昂弥	中日ドラゴンズ	41	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
19	福永 裕基	中日ドラゴンズ	64	POWERPRO_TOO_LOW	B_DIRECTIONAL_REVIEW	CURRENT_PEAK_PLUS_WEAK_STATISTICAL_SUPPORT	LOW	HIGH_CURRENT_PEAK_WITH_SAME_DIRECTION_LOW_SAMPLE_S_CONTEXT		false	Current peak is rank 13 with adequate exposure. S points the same way but has only 57 PA and moderate reliability; game context is near neutral. Preserve as a low-confidence low-rating concern rather than discard it or call it strong.
20	細川 成也	中日ドラゴンズ	60	UNRESOLVED	C_MATERIAL_CONFLICT	CURRENT_PEAK_VS_NONPEAK_AND_CONTEXT_CONFLICT	MEDIUM	HIGH_CURRENT_PEAK_CONFLICTS_WITH_50M_AND_STATISTICAL_GAME_CONTEXT		false	Current peak is high, but 50m context, S and game signals all lean lower. The previous TOO_LOW screen was driven mainly by peak speed; full-construct evidence is genuinely conflicting.
21	高橋 周平	中日ドラゴンズ	46	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
22	奈良間 大己	北海道日本ハムファイターズ	64	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
23	水野 達稀	北海道日本ハムファイターズ	71	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
24	清宮 幸太郎	北海道日本ハムファイターズ	56	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
25	田宮 裕涼	北海道日本ハムファイターズ	68	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
26	郡司 裕也	北海道日本ハムファイターズ	61	POWERPRO_TOO_LOW	B_DIRECTIONAL_REVIEW	CURRENT_PEAK_PLUS_CONTEXT_SUPPORTED_CONCERN	LOW	CURRENT_PEAK_HIGH_AND_CONTEXT_NOT_NEGATIVE_BUT_NONPEAK_PHYSICAL_MISSING		false	Current peak is rank 20 with adequate exposure, while S and game context are not negative. This supports a low-confidence concern that PP61 is low, but missing acceleration/end-to-end evidence prevents a strong verdict.
27	野村 佑希	北海道日本ハムファイターズ	52	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
28	ソト	千葉ロッテマリーンズ		UNRESOLVED	A_BULK_COMPATIBLE_OR_NO_TARGET	NO_CURRENT_POWERPRO_TARGET	HIGH	NO_CURRENT_POWERPRO_TARGET		false	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
29	ポランコ	千葉ロッテマリーンズ	63	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
30	佐藤 都志也	千葉ロッテマリーンズ	71	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
31	友杉 篤輝	千葉ロッテマリーンズ	87	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
32	安田 尚憲	千葉ロッテマリーンズ	46	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
33	小川 龍成	千葉ロッテマリーンズ	86	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
34	山口 航輝	千葉ロッテマリーンズ	52	POWERPRO_TOO_LOW	B_DIRECTIONAL_REVIEW	LOW_CONFIDENCE_TECHNIQUE_SEPARATED_CONCERN	LOW	COMMUNITY_EXPLICITLY_SEPARATES_PHYSICAL_SPEED_FROM_STEALING_TECHNIQUE		false	Peak speed and the Community physical statement support real foot speed, while the same statement separately identifies poor stealing sense. Negative S/game context is retained but downweighted as technique/opportunity-contaminated. Unknown-date 50m is retained at low weight, not treated as decisive.
35	岡 大海	千葉ロッテマリーンズ	82	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
36	藤原 恭大	千葉ロッテマリーンズ	85	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
37	藤岡 裕大	千葉ロッテマリーンズ	65	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
38	髙部 瑛斗	千葉ロッテマリーンズ	90	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
39	古賀 悠斗	埼玉西武ライオンズ	47	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
40	外崎 修汰	埼玉西武ライオンズ	68	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
