player,player_id,team,current_npb_plus_speed_kmh,current_band,active_scope_lane,current_physical_status,grok_x_classification,accepted_x_count,independent_qualifying_x_count,resolution_classification,video_needed,exact_video_question,remaining_limitation
西野 真弘,91495130,オリックス・バファローズ,31.6,B4_MID_UPPER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,2,1,INSUFFICIENT_EVIDENCE_REMAINS,true,西野 真弘: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
カリステ,93795157,中日ドラゴンズ,31.3,B5_MID_LOWER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,カリステ: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
土田 龍空,51455153,中日ドラゴンズ,31.2,B6_LOWER_MID_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,MIXED_CONSENSUS,4,4,MIXED_EVIDENCE_REMAINS,true,土田 龍空: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、相反する同時代証拠のどちらが現在の身体的走速度をより良く表すかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
大島 洋平,01305131,中日ドラゴンズ,31.7,B4_MID_UPPER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,1,1,INSUFFICIENT_EVIDENCE_REMAINS,true,大島 洋平: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
友杉 篤輝,71275157,千葉ロッテマリーンズ,32.7,B2_UPPER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,METRIC_CONSTRUCT_CONFLICT,3,3,METRIC_CONSTRUCT_CONFLICT_REMAINS,true,友杉 篤輝: 2026年の同条件・全力直線走を複数プレーで確認し、現在のNPB+順序と過去年の別計測constructの差が、現時点の身体的走速度差として残るかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
外崎 修汰,41245130,埼玉西武ライオンズ,32.3,B3_UPPER_MID_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,1,1,INSUFFICIENT_EVIDENCE_REMAINS,true,外崎 修汰: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
矢野 雅哉,93395153,広島東洋カープ,30.7,B6_LOWER_MID_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,矢野 雅哉: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
野間 峻祥,01405130,広島東洋カープ,31.7,B4_MID_UPPER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,野間 峻祥: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
中村 悠平,51255118,東京ヤクルトスワローズ,30.4,B7_LOWER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,1,1,INSUFFICIENT_EVIDENCE_REMAINS,true,中村 悠平: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
林 琢真,91695157,横浜DeNAベイスターズ,32,B3_UPPER_MID_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,METRIC_CONSTRUCT_CONFLICT,3,2,METRIC_CONSTRUCT_CONFLICT_REMAINS,true,林 琢真: 2026年の同条件・全力直線走を複数プレーで確認し、現在のNPB+順序と過去年の別計測constructの差が、現時点の身体的走速度差として残るかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
梶原 昂希,51555155,横浜DeNAベイスターズ,33.4,B1_FASTEST_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_SNS_EVIDENCE,2,1,INSUFFICIENT_EVIDENCE_REMAINS,true,梶原 昂希: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
梅野 隆太郎,21325139,阪神タイガース,30.6,B7_LOWER_COHORT_OCTILE,LEGACY_12_UNRESOLVED_SNS,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,MIXED_CONSENSUS,2,2,MIXED_EVIDENCE_REMAINS,true,梅野 隆太郎: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、相反する同時代証拠のどちらが現在の身体的走速度をより良く表すかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
筒香 嘉智,41945131,横浜DeNAベイスターズ,30.2,B8_SLOWEST_COHORT_OCTILE,NEW_6_TARGETED_PHYSICAL_SCOPE,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_X_EVIDENCE,0,0,INSUFFICIENT_EVIDENCE_REMAINS,true,筒香 嘉智: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
モンテロ,53955150,広島東洋カープ,31.9,B4_MID_UPPER_COHORT_OCTILE,NEW_6_TARGETED_PHYSICAL_SCOPE,CURRENT_PHYSICAL_MEASUREMENT_CONFIRMED,INSUFFICIENT_X_EVIDENCE,1,0,RESOLVED_CURRENT_PHYSICAL_MEASUREMENT,false,,Resolution is evidence-bounded and does not convert its evidence into a numeric game rating.
秋山 翔吾,31135133,広島東洋カープ,31.6,B4_MID_UPPER_COHORT_OCTILE,NEW_6_TARGETED_PHYSICAL_SCOPE,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_X_EVIDENCE,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,秋山 翔吾: 2026年の全力直線走を確認し、歴史的な直接T90計測の方向性が現在にも保たれているか、または現在の速度変化を示す明確な観察があるかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
ポランコ,63065155,千葉ロッテマリーンズ,31.1,B6_LOWER_MID_COHORT_OCTILE,NEW_6_TARGETED_PHYSICAL_SCOPE,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_X_EVIDENCE,4,0,INSUFFICIENT_EVIDENCE_REMAINS,true,ポランコ: 2026年の全力直線走を確認し、歴史的な直接T90計測の方向性が現在にも保たれているか、または現在の速度変化を示す明確な観察があるかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
サンタナ,53755153,東京ヤクルトスワローズ,30.8,B6_LOWER_MID_COHORT_OCTILE,NEW_6_TARGETED_PHYSICAL_SCOPE,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_X_EVIDENCE,0,0,INSUFFICIENT_EVIDENCE_REMAINS,true,サンタナ: 2026年の全力直線走を確認し、歴史的な直接T90計測の方向性が現在にも保たれているか、または現在の速度変化を示す明確な観察があるかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
奈良間 大己,31435157,北海道日本ハムファイターズ,31.7,B4_MID_UPPER_COHORT_OCTILE,NEW_6_TARGETED_PHYSICAL_SCOPE,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,INSUFFICIENT_X_EVIDENCE,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,奈良間 大己: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
