lane_id	lane_label	region_or_league	topic_code	topic_family	status	query_formulations	searched_domains_source_families	year_coverage	retained_events	negative_search_result	second_pass_discovery_result	closure_reason	reason_if_not_applicable_or_blocked	source_quality_note	wave2_notes
NPB_NATIONAL	NPB national	Japan	A	rules / on-field environment	SEARCHED_SATURATED	NPB rules / on-field environment history rule reform farm draft contract governance || NPB national rules / on-field environment official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national rules / on-field environment failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-007	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-007 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	B	draft / amateur acquisition	SEARCHED_SATURATED	NPB draft / amateur acquisition history rule reform farm draft contract governance || NPB national draft / amateur acquisition official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national draft / amateur acquisition failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-003;PNN-004;PNN-008;PNW2-004;PNW2-005	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-003,PNN-004,PNN-008,PNW2-004,PNW2-005 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	C	contracts / FA / player movement	SEARCHED_SATURATED	NPB contracts / FA / player movement history rule reform farm draft contract governance || NPB national contracts / FA / player movement official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national contracts / FA / player movement failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-002;PNN-003;PNN-008;PNN-049;PNW2-006	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-002,PNN-003,PNN-008,PNN-049,PNW2-006 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	D	organization / roster / competitive balance	SEARCHED_SATURATED	NPB organization / roster / competitive balance history rule reform farm draft contract governance || NPB national organization / roster / competitive balance official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national organization / roster / competitive balance failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-001;PNN-003;PNN-004;PNN-005;PNN-039;PNN-040;PNW2-001;PNW2-003;PNW2-004;PNW2-007;PNW2-008;PNW2-017;PNW2-041	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-001,PNN-003,PNN-004,PNN-005,PNN-039,PNN-040,PNW2-001,PNW2-003,PNW2-004,PNW2-007,PNW2-008,PNW2-017,PNW2-041 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	E	player development	SEARCHED_SATURATED	NPB player development history rule reform farm draft contract governance || NPB national player development official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national player development failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-005;PNN-006;PNN-008;PNN-035;PNW2-003;PNW2-008;PNW2-009;PNW2-010;PNW2-011;PNW2-014;PNW2-015;PNW2-016;PNW2-017	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-005,PNN-006,PNN-008,PNN-035,PNW2-003,PNW2-008,PNW2-009,PNW2-010,PNW2-011,PNW2-014,PNW2-015,PNW2-016,PNW2-017 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	F	scouting / analytics / AI / technology	SEARCHED_SATURATED	NPB scouting / analytics / AI / technology history rule reform farm draft contract governance || NPB national scouting / analytics / AI / technology official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national scouting / analytics / AI / technology failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-006;PNN-035;PNW2-011;PNW2-012;PNW2-013;PNW2-015	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-006,PNN-035,PNW2-011,PNW2-012,PNW2-013,PNW2-015 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	G	staff / culture / organizational knowledge	SEARCHED_SATURATED	NPB staff / culture / organizational knowledge history rule reform farm draft contract governance || NPB national staff / culture / organizational knowledge official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national staff / culture / organizational knowledge failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-006;PNN-035;PNW2-003;PNW2-009;PNW2-011;PNW2-012;PNW2-013;PNW2-015	No materially distinct mechanism beyond existing PW/open domains was retained after the second pass.	Second pass retained PNN-006,PNN-035,PNW2-003,PNW2-009,PNW2-011,PNW2-012,PNW2-013,PNW2-015 as evidence.	Two formulation families plus source checking reached bounded saturation; later archival discoveries remain admissible.		Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	H	opponent research / adaptation	SEARCHED_NEEDS_MORE	NPB opponent research / adaptation history rule reform farm draft contract governance || NPB national opponent research / adaptation official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national opponent research / adaptation failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNW2-013	Searches found covered mechanisms, source-thin references, or details not safe to generalize.	Second pass retained PNW2-013 but did not establish saturation.	Not closed: keep open for a targeted later pass; retained evidence is a bounded seed.	Coverage depth remains incomplete; this is not a completion claim.	Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	I	player identity / psychology / agency	SEARCHED_NEEDS_MORE	NPB player identity / psychology / agency history rule reform farm draft contract governance || NPB national player identity / psychology / agency official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national player identity / psychology / agency failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	PNN-008	Searches found covered mechanisms, source-thin references, or details not safe to generalize.	Second pass retained PNN-008 but did not establish saturation.	Not closed: keep open for a targeted later pass; retained evidence is a bounded seed.	Coverage depth remains incomplete; this is not a completion claim.	Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
NPB_NATIONAL	NPB national	Japan	J	injury / fatigue / health	SEARCHED_NEEDS_MORE	NPB injury / fatigue / health history rule reform farm draft contract governance || NPB national injury / fatigue / health official archive history 1946-2026 source-families=npb.jp;draft.npb.jp;NPB league/farm archives || second-pass NPB national injury / fatigue / health failure reversal negative result	npb.jp;draft.npb.jp;NPB league/farm archives	1946-2026	-	Searches found covered mechanisms, source-thin references, or details not safe to generalize.	No high-confidence distinct event retained.	Not closed: keep open for a targeted later pass; retained evidence is a bounded seed.	Coverage depth remains incomplete; this is not a completion claim.	Primary/official checked where available; secondary context is marked in event rows.	Independent cell receipt; not closed by query-count alone.
