row_type	requirement_id	feedback_id	description	mapped_evidence_ids	exact_route_or_gap	implementation_artifact_or_source	decision_use_receipt	trace_status	gap_or_next_action
requirement	SR-001		既存のClaude production走力モデルをcontrolとして保持し、再構築案は必ずcontrolと比較する	"[""SP103-EV-063"", ""SP103-EV-064""]"	SP103-EV-063; SP103-EV-064; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-002		走力と盗塁技術・走塁判断を分離し、同じ情報を基礎能力と得能へ二重計上しない	"[""SP103-EV-011"", ""SP103-EV-017"", ""SP103-EV-021""]"	SP103-EV-011; SP103-EV-017; SP103-EV-021; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-003		2026 NPB 100人のNPB+ speedとexposureを保持する	"[""SP103-EV-001""]"	SP103-EV-001; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-004		身体測定台帳と測定時点を保持し、未解決日時を未解決のまま明示する	"[""SP103-EV-002"", ""SP103-EV-006"", ""SP103-EV-007"", ""SP103-EV-008""]"	SP103-EV-002; SP103-EV-006; SP103-EV-007; SP103-EV-008; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-005		PowerPro長期パネルを収集だけで終わらせず、version分布・trajectory・stale/inertiaを監査する	"[""SP103-EV-028""]"	SP103-EV-028; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-006		秋山翔吾・松山竜平などベテランのPowerPro据え置き疑いを個別caseとして監査する	"[""SP103-EV-028""]"	SP103-EV-028; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-007		PowerProを無条件の正解にせず、教師値とQAの循環を避ける	"[""SP103-EV-027"", ""SP103-EV-049""]"	SP103-EV-027; SP103-EV-049; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-008		H2F・塁間走・加速・内野ゴロ等の混合情報を、交絡と誤差を保存して評価する	"[""SP103-EV-002"", ""SP103-EV-004"", ""SP103-EV-007"", ""SP103-EV-008"", ""SP103-EV-011"", ""SP103-EV-014""]"	SP103-EV-002; SP103-EV-004; SP103-EV-007; SP103-EV-008; SP103-EV-011; SP103-EV-014; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-009		既存の三塁打/GIDP回避/内野安打/advance/UBRを証拠資産として再利用する。ただし旧「翌年再現性をそのまま重みにする」方式はlegacy controlに限定し、final年度査定へ継承しない	"[""SP103-EV-011"", ""SP103-EV-012"", ""SP103-EV-013"", ""SP103-EV-014"", ""SP103-EV-015""]"	SP103-EV-011; SP103-EV-012; SP103-EV-013; SP103-EV-014; SP103-EV-015; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-010		NPB+ raw measurement自体と、PowerProラベルへ回帰した変換経路を分離して評価する	"[""SP103-EV-001"", ""SP103-EV-003"", ""SP103-EV-027""]"	SP103-EV-001; SP103-EV-003; SP103-EV-027; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
