event_id	event_date_start	event_date_end	retrieved_at	region	country	league	organization	competition	topic_family	subtopic	headline_or_event_name	fact_summary	primary_source_url	secondary_source_urls	source_authority	verification_status	historical_or_current	mechanism_revealed	potential_game_system	existing_requirement_ids	novelty_status	materiality	recurrence_class	player_frustration_risk	suggested_default_or_toggle	implementation_complexity	research_confidence	notes
PNN-001	2004-09-01	2004-11-02	2026-08-24	East Asia	Japan	NPB	Rakuten; NPB	NPB realignment	Governance	Expansion and franchise entry	Rakuten applies for a new NPB franchise	Rakuten publicly applied for a new NPB franchise during the 2004 reorganization period, illustrating an external company entering a league asset decision.	https://global.rakuten.com/corp/news/press/2004/1102.html	https://en.wikipedia.org/wiki/2004_Nippon_Professional_Baseball_realignment	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Ownership and market entry can alter league topology and club identity.	ownership/expansion/relocation state	PW-165;PW-247;PW-248	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	MEDIUM	Official corporate application is primary; strike chronology is secondary context.
PNN-002	2013-12-16	2013-12-16	2026-08-24	East Asia	Japan	NPB/MLB	NPB; MLB	Posting system	Transactions	Posting window and release fee	MLB and NPB agree to a revised posting system	The revised system capped the release fee at $20 million and created a time-limited negotiation window; an unsuccessful negotiation leaves the player under reserve.	https://www.mlb.com/news/mlb-npb-reach-agreement-on-posting-system/c-66013956	https://www.mlb.com/news/mlb-agrees-to-new-japanese-free-agent-posting-system/c-64555100	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Cross-league transfer is a negotiated gate with timing, compensation, and failed-route consequences.	posting/overseas market/contract clock	PW-103;PW-104;PW-169;PW-236;PW-242	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	MEDIUM	HIGH	Use as evidence for existing posting and failed-negotiation mechanics.
PNN-003	2022-12-09	2022-12-09	2026-08-24	East Asia	Japan	NPB	NPB	Active Draft	Transactions	Underused-player redistribution	NPB holds the first Active Draft	Each club selected an underused player under a league-wide redistribution mechanism designed to create movement for players blocked on their current roster.	https://c.npb.jp/geneki_draft/2022/	https://npb.jp/announcement/2022/	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A protected roster can be periodically reopened through a bounded redistribution draft.	active draft/waiver-like mobility	PW-236;PW-237;PW-238;PW-239	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	MEDIUM	DEFAULT_RARE	MEDIUM	HIGH	Third-pass OPEN-07/09 overlap is explicitly not new.
PNN-004	2022-10-20	2022-10-20	2026-08-24	East Asia	Japan	NPB	NPB	Draft	Amateur pipeline	Eligibility and draft order	NPB publishes draft eligibility and reverse-order schedule	Official NPB draft materials specify eligibility and the reverse standings order, showing that entry rights are formal calendar rules rather than a purely free market.	https://draft.npb.jp/draft/2022/information.html	https://draft.npb.jp/draft/2022/schedule.html	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Eligibility and draft order create a time-dependent entry gate.	draft eligibility/order	PW-055;PW-056;PW-057;PW-240;PW-259	ALREADY_COVERED	MEDIUM	RECURRING	MEDIUM	DEFAULT	LOW	HIGH	Evidence only; no new amateur requirement.
PNN-005	2023-04-07	2023-04-07	2026-08-24	East Asia	Japan	NPB	NPB; independent leagues; JABA	Farm League	Development	League entry and regional development	NPB invites additional farm teams	NPB invited independent-league, JABA, and student-baseball organizations to participate in farm competition from 2024/25, tying farm structure to regional development.	https://bis.npb.or.jp/npb/farmleague_announcement_20230407.html	https://www.npb.or.jp/npb/careersupport2022enq.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	A league can add developmental tiers and external participants without waiting for a club relocation.	farm tier/independent affiliation/development capacity	PW-149;PW-150;PW-151;PW-179;PW-180	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Supports OPEN-08 but is not a new farm-system concept.
PNN-006	2026-01-01	2026-01-31	2026-08-24	East Asia	Japan	Japan Winter League	Japan Winter League; NPB; CPBL; KBO; JABA	Winter competition	Development	Cross-league scouting and data	Japan Winter League opens 2026 entry to players from multiple systems	The league describes eligibility across NPB, CPBL, KBO, JABA, independents, and youth players, plus TrackMan/BLAST data and international scouting; it reports past signings across several professional systems.	https://www.japanleague.co.jp/en/news/jwl-2026-entry-open	-	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	A shared development market can transfer players, data, and evaluation knowledge across league boundaries.	winter league/scouting/data exchange	PW-145;PW-153;PW-168;PW-171;PW-179;PW-180	PARTIAL_EXTENSION	HIGH	RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Official league self-report; signing count is not independently audited here.
PNN-007	2013-06-25	2013-06-25	2026-08-24	East Asia	Japan	NPB	NPB	Rule review	Integrity and equipment	Unified-ball investigation	NPB commissions a third-party investigation into the unified ball	The official release documents a league-wide investigation into ball specifications and communication, showing how equipment policy can become a governance and trust issue.	https://npb.jp/npb/20130625release.html	https://npb.jp/npb/20160315release.html	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Equipment and rule transparency can affect trust, performance comparability, and governance.	ball/equipment governance/era calibration	PW-191;PW-201;PW-205;PW-213	PARTIAL_EXTENSION	MEDIUM	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	MEDIUM	HIGH	No allegation about individual intent is inferred.
PNN-008	2018-06-04	2019-05-22	2026-08-24	North America/East Asia	United States/Japan	MLB/NPB	Atlanta Braves; SoftBank Hawks	Draft and overseas signing	Career path	Failed medical gate and alternate route	Carter Stewart was the 2018 No. 8 overall pick and later signed with SoftBank after a draft medical dispute	MLB reporting describes the failed physical/negotiation and subsequent Japanese professional route; the correct draft slot is No. 8 overall.	https://www.mlb.com/news/carter-stewart-pitcher-signs-japan.html	https://www.mlb.com/news/braves-unable-to-agree-with-carter-stewart-c284523030;https://www.mlb.jp/2019/05/22/26692/	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	A failed institutional gate can redirect a prospect into another professional ecosystem without ending the career.	draft medical/overseas route/reclamation reputation	PW-055;PW-094;PW-169;PW-171;PW-251	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	MEDIUM	HIGH	Owner example is preserved as a case, not a guaranteed generic outcome.
PNN-009	2024-01-01	2024-12-31	2026-08-24	North America/Caribbean	United States/Dominican Republic	MLB	San Francisco Giants; MLB academies	Development exchange	Player development	Academy immersion and knowledge transfer	Giants prospects visit the Dominican Republic academy system	MLB reporting describes an organization exposing US prospects to Dominican academy environments, a concrete example of cross-system development and cultural/knowledge exchange.	https://www.mlb.com/news/kyle-harrison-giants-prospects-visit-dominican-republic	https://www.mlb.com/trainer-partnership/dominican-republic	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Organizations can acquire development knowledge and player context through international academy exchange.	academy/staff knowledge capital/cultural adaptation	PW-145;PW-153;PW-157;PW-158;PW-171	PARTIAL_EXTENSION	MEDIUM	RECURRING	MEDIUM	TOGGLE	MEDIUM	MEDIUM	Public report does not expose internal outcome metrics.
PNN-010	2023-03-09	2023-03-09	2026-08-24	North America	United States/Canada	MLB/MiLB	MLB; MLBPA; umpires	Rule changes	In-game rules	Pitch timer, disengagement, shifts, and bases	MLB implements its 2023 rule package after minor-league testing	The official package describes pitch-timer, disengagement, shift-limit, and larger-base changes, with minor-league testing and measured effects.	https://www.mlb.com/press-release/press-release-mlb-announces-rule-changes-for-2023-season	https://www.mlb.com/rule-changes-2023/	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A league can test coupled rules in a lower tier and promote them with measurable interaction effects.	rule engine/skill price/era statistics	PW-117;PW-120;PW-190;PW-192;PW-193;PW-194	ALREADY_COVERED	HIGH	RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Third-pass OPEN-02/11/15 overlap is known.
PNN-011	2022-03-10	2022-03-10	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA	Collective bargaining	Labor and incentives	CBA incentive bundle	2022 CBA service-time and competitive mechanisms	The CBA package included minimum-salary changes, a pre-arbitration bonus pool, CBT thresholds, universal DH, draft lottery, service-time manipulation provisions, and optioning limits.	https://www.mlb.com/news/mlb-mlbpa-agree-to-cba	https://www.mlbplayers.com/resources/major-league-cba	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Labor terms alter promotion timing, payroll incentives, draft order, and roster control.	CBA/labor bargaining/service time	PW-121;PW-122;PW-125;PW-130;PW-197;PW-198;PW-229	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	Do not import proposed 2026 terms as enacted rules.
PNN-012	2024-12-11	2024-12-11	2026-08-24	North America	United States/Canada	MLB	MLB; MLB clubs	Rule 5 Draft	Roster rights	40-man protection and mandatory retention	Rule 5 eligibility exposes unprotected players to another club under retention conditions	MLB’s glossary describes eligibility and the roster/retention consequences of the Rule 5 Draft.	https://www.mlb.com/glossary/transactions/rule-5-draft	https://www.mlb.com/news/mlb-mlbpa-agree-to-cba	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	Roster rights can force a club to choose between protection, exposure, and development time.	roster rights/waiver/options/service time	PW-060;PW-061;PW-197;PW-198;PW-239;PW-256	ALREADY_COVERED	HIGH	RECURRING	HIGH_IF_AUTOMATIC	DEFAULT	MEDIUM	HIGH	Explicit third-pass OPEN-07 is not new.
PNN-013	2022-12-06	2022-12-06	2026-08-24	North America	United States/Canada	MLB	MLB; PwC	Amateur Draft	Draft order	Lottery and competitive balance	First MLB draft lottery	The 2023 draft order used a lottery among 18 non-playoff clubs with a stated audit and revenue-sharing-related odds structure.	https://www.mlb.com/news/how-the-mlb-draft-lottery-works	https://www.mlb.com/news/2023-mlb-draft-order	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Draft order can be probabilistic and policy-shaped rather than a simple reverse standings list.	draft lottery/tank incentive/competitive balance	PW-055;PW-056;PW-057;PW-195;PW-196;PW-198	ALREADY_COVERED	HIGH	RECURRING	MEDIUM	DEFAULT	MEDIUM	HIGH	Evidence supports existing draft uncertainty and governance.
PNN-014	2022-03-10	2022-03-10	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA	Prospect Promotion Incentive	Career timing	Promotion incentives tied to awards and rookie status	The PPI can give clubs draft-pick benefits for promoting prospects who later meet award or roster criteria	MLB’s explainer describes a CBA mechanism linking early promotion and future draft compensation to performance/award outcomes.	https://www.mlb.com/dodgers/news/prospect-promotion-incentive-faq	https://www.mlb.com/news/major-league-baseball-distributes-bonuses-through-pre-arbitration-pool-program	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Career timing can be affected by a club’s option value, award probability, and draft compensation.	promotion timing/award/roster incentive	PW-074;PW-095;PW-197;PW-198;PW-213	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	Partial because the explicit award-linked club incentive is not fully specified in the canonical rows.
PNN-015	2021-09-09	2021-09-09	2026-08-24	North America	United States	MLB/MiLB	MLB; 120 minor-league clubs	Minor League structure	Development	Professional development system reorganization	MLB describes a new professional development structure with 120 affiliated minor-league clubs and improved player conditions	The reorganization changed affiliation, facilities, salary, and travel expectations across the player-development system.	https://www.mlb.com/news/new-minor-league-baseball-structure	https://www.mlb.com/news/minor-league-baseball-has-successful-2021-season	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A league can reconfigure developmental tiers and operating standards at scale.	farm tier/cost/travel/facility/development capacity	PW-149;PW-150;PW-151;PW-165;PW-180	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Supports OPEN-08; not a new farm concept.
