raw_id,player,measurement_era,metric,value,unit,evidence_class,source_manifest_id,source_tier,canonicality,bank_acceptance_status,rejection_reason,source_url,notes
R00001,草部真秀,2022,50M_STANDING_START_SECONDS,6.93,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00002,吉田元登,2022,50M_STANDING_START_SECONDS,6.93,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00003,上崎彰吾,2022,50M_STANDING_START_SECONDS,6.82,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00004,有馬諒,2022,50M_STANDING_START_SECONDS,6.76,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00005,山下滉介,2022,50M_STANDING_START_SECONDS,6.75,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00006,野口泰司,2022,50M_STANDING_START_SECONDS,6.7,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00007,伊藤雄紀,2022,50M_STANDING_START_SECONDS,6.68,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00008,水島滉陽,2022,50M_STANDING_START_SECONDS,6.66,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00009,山田健太,2022,50M_STANDING_START_SECONDS,6.62,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00010,進藤勇也,2022,50M_STANDING_START_SECONDS,6.59,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00011,小中健蔵,2022,50M_STANDING_START_SECONDS,6.58,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00012,友田佑卓,2022,50M_STANDING_START_SECONDS,6.53,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00013,辻本倫太郎,2022,50M_STANDING_START_SECONDS,6.52,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00014,宗山塁,2022,50M_STANDING_START_SECONDS,6.51,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00015,佐々木泰,2022,50M_STANDING_START_SECONDS,6.48,seconds,STANDARDIZED_SHORT_DISTANCE,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,CANONICAL_SOURCE_RECORD,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,https://www.youtube.com/watch?v=fC8_8iA7Cao,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
