player,player_id,team,gpt_codex_rating,gpt_codex_low,gpt_codex_high,gpt_codex_confidence,gpt_codex_decision_class,gpt_codex_short_rationale,existing_production_model_rating,existing_production_model_basis,existing_production_model_status,npb_plus_sprint_kmh,exposure_games,exposure_pa,direct_t90_summary,standardized_30m_50m_summary,home_to_first_summary,historical_physical_summary,physical_evidence_strength,sns_physical_classification,sns_physical_summary,video_classification,powerpro_current_speed,powerpro_match_status,powerpro_history_summary,powerpro_change_points,powerpro_years_since_material_change,project_minus_powerpro,abs_project_powerpro_diff,large_diff_ge_5,discrepancy_direction,discrepancy_reason_class,discrepancy_reason_explanation_ja,discrepancy_reason_confidence,powerpro_stale_suspected,powerpro_stale_reason,project_top_speed_overweight_suspected,project_acceleration_missing_suspected,historical_evidence_conflict,current_exposure_risk,owner_review_required,owner_review_reasons,owner_verdict,owner_note,owner_preferred_rating_optional
中川 圭太,51255138,オリックス・バファローズ,75,68,82,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,72.1,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.6,93,366,,,"HP_TO_1B_SECONDS=4.01seconds(2021/reported_hp_to_1b_unspecified_origin) , HP_TO_1B_SECONDS=4.01seconds(2021/reported_hp_to_1b_unspecified_origin)",計測3件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,74,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:65 → 2022:70 → 2024:74,3,2,1,1,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
太田 椋,91395138,オリックス・バファローズ,66,59,73,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,59.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2022,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.7,85,347,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,64,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:61 → 2024:64,2,2,2,2,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
宗 佑磨,11815130,オリックス・バファローズ,68,61,75,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.9km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,61.4,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.9,96,388,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,76,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,履歴なし,0,,-8,8,true,POWERPRO_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,false,true,false,false,true,PowerProとの差-8,,,
来田 涼斗,51955153,オリックス・バファローズ,73,66,80,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,70.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.4,62,183,,50M_PROFILE_SECONDS=5.9seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,85,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2021:83 → 2024:85,2,2,-12,12,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.9seconds(unknown/unknown),LOW,false,,false,true,false,false,true,PowerProとの差-12,,,
森 友哉,91495139,オリックス・バファローズ,62,55,69,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.2km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,60.7,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.2,65,250,,50M_PROFILE_SECONDS=6.2seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,65,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2023:65,1,3,-3,3,false,POWERPRO_HIGHER,,,,false,,false,false,false,false,false,,,,
紅林 弘太郎,91995151,オリックス・バファローズ,57,50,64,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,54.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.7,95,365,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,56,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2020:63 → 2022:56,2,4,1,1,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
若月 健矢,41645139,オリックス・バファローズ,57,50,64,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,61.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,30.7,80,244,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,48,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2014:63 → 2016:57 → 2017:53 → 2018:45 → 2024:48,5,2,9,9,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+9,,,
西川 龍馬,71475132,オリックス・バファローズ,61,54,68,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.1km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,62.1,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.1,102,436,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,72,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2016:69 → 2017:72,2,9,-11,11,true,POWERPRO_HIGHER,POWERPRO_STALE_HIGH_SUSPECTED,PowerProが高いまま据え置かれている疑い,LOW,true,最後の変更が2017年（9年前）で、以降4年分の観測がありながら動いていない／現在の査定と11点乖離,false,true,false,false,true,PowerProとの差-11／PowerPro据え置きの疑い,,,
西野 真弘,91495130,オリックス・バファローズ,66,59,73,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 31.6km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,68.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.6,29,85,,,,計測1件,NONE,INSUFFICIENT_SNS_EVIDENCE,採用4件: faster×4,VIDEO_INCONCLUSIVE,76,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2016:71 → 2017:76,2,9,-10,10,true,POWERPRO_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK|POWERPRO_STALE_HIGH_SUSPECTED|SNS_SUPPORTS_POWERPRO_DIRECTION,2026年の出場が29試合と少なく、NPB+が最高速度を観測しきれていない可能性／PowerProが高いまま据え置かれている疑い／SNSで「速い」方向の独立投稿が4件,MEDIUM,true,最後の変更が2017年（9年前）で、以降4年分の観測がありながら動いていない／現在の査定と10点乖離／SNSに方向の揃った独立投稿が複数,false,true,false,true,true,PowerProとの差-10／PowerPro据え置きの疑い,,,
カリステ,93795157,中日ドラゴンズ,63,56,70,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_HISTORICAL_DIRECT_CONTEXT,2026 NPB+ 31.3km/hの同一100人内順位を現行中心として明示affirm。公式直接T90（2017年）は歴史文脈のみで、現行点を自動補正しない。動画はusable current full-effort play=0で、数値入力にしていない。,66.2,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.3,26,67,"T90FT_SECONDS=3.94seconds(2017/Statcast official CSV) , T90FT_SECONDS=3.94seconds(2017/Statcast official leaderboard)",,,計測9件,STANDARDIZED_SHORT_DISTANCE,INSUFFICIENT_SNS_EVIDENCE,採用3件: faster×3,VIDEO_INCONCLUSIVE,82,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,履歴なし,0,,-19,19,true,POWERPRO_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK|TEMPORAL_CHANGE_NOT_CAPTURED|HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO|SNS_SUPPORTS_POWERPRO_DIRECTION,"2026年の出場が26試合と少なく、NPB+が最高速度を観測しきれていない可能性／過去の直接計測が文脈扱いに留まり、現在への持ち越しが決まっていない（HISTORICAL_DIRECT_T90_2017_CONTEXT_ONLY）／過去の身体計測がPowerProの高い評価と同じ向きを示す: T90FT_SECONDS=3.94seconds(2017/Statcast official CSV) , T90FT_SECONDS=3.94seconds(2017/Statcast official leaderboard)／SNSで「速い」方向の独立投稿が3件",MEDIUM,false,,false,true,false,true,true,PowerProとの差-19,,,
