queue_order	player	recommendation	confidence	reason_code	rationale_ja
1	中川 圭太	POWERPRO_PLAUSIBLE	LOW_MEDIUM	MULTI_DIMENSION_NO_MATERIAL_CONTRADICTION	現在の最高速度は上位寄りで、H2Fはサンプル平均よりわずかに遅い程度。現在の補助材料も強く否定しておらず、74とは大きく矛盾しない。ただしH2Fの現在性が弱いため確信度は限定的。
2	太田 椋	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
3	宗 佑磨	UNRESOLVED	HIGH	NO_CURRENT_POWERPRO_TARGET	現行PowerPro値がなく、比較判定そのものができない。物理材料は後続の実査定には使えるが、PowerProの妥当性判定にはならない。
4	来田 涼斗	POWERPRO_PLAUSIBLE	LOW_MEDIUM	PEAK_AND_SHORT_DISTANCE_ALIGN_HIGH	現在の最高速度は上位寄りで、50mも速い方向。高い評価と整合するが、50mの測定年が不明なので確信度は限定的。
5	森 友哉	POWERPRO_PLAUSIBLE	LOW_MEDIUM	PEAK_AND_SHORT_DISTANCE_ALIGN_MIDDLE	現在の最高速度と50mはいずれも中位からやや下の身体像を示す。65とは大きく矛盾しないが、50mの測定年が不明。
6	紅林 弘太郎	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
7	若月 健矢	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
8	西川 龍馬	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
9	西野 真弘	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
10	カリステ	UNRESOLVED	MEDIUM_HIGH	TEMPORAL_MISMATCH_CURRENT_PEAK_VS_2017_RUN_SHAPE	現在の最高速度は7回相当で過小評価の可能性があり、T10・T30・T90は2017年。現在と過去の時間軸が合わず、2026年の総合走力は決められない。
11	土田 龍空	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
12	大島 洋平	UNRESOLVED	MEDIUM_HIGH	OLD_H2F_NOT_CURRENT_WHOLE_CONSTRUCT	現在の最高速度は測定機会が少なく、H2Fは2007年。S・試合指標・Communityは走塁実用面の文脈を含み、現在の90ft身体能力を代替できない。
13	岡林 勇希	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_50M_ALIGN_HIGH	現在の最高速度、2019年の50m、現在のS・試合文脈がいずれも速い方向。81とは大きく矛盾しないが、50mが古いため確信度は中程度。
14	木下 拓哉	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
15	村松 開人	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
16	板山 祐太郎	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
17	田中 幹也	POWERPRO_PLAUSIBLE	MEDIUM_HIGH	PEAK_AND_50M_ALIGN_HIGH	現在の最高速度は最上位層で、50mも速く、現在の補助指標も同方向。83は妥当な範囲。
18	石川 昂弥	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
19	福永 裕基	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
20	細川 成也	UNRESOLVED	MEDIUM_HIGH	PHYSICAL_DIMENSIONS_AND_PROXIES_CONFLICT	現在の最高速度は速い一方、50mは中位で、S・試合文脈は低い。物理レーン同士も補助材料とも一致せず未確定。
21	高橋 周平	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
22	奈良間 大己	UNRESOLVED	MEDIUM_HIGH	CONFLICTING_SHORT_DISTANCE_RECORDS	現在の最高速度は中位だが、50m記録が6.31秒と5.8秒で大きく食い違う。現在の総合走力を一意に決められない。
23	水野 達稀	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
24	清宮 幸太郎	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_50M_SUPPORT_LOW_MIDDLE	現在の最高速度は中位、50mは遅い方向で、S・試合文脈も低め。56という低めの評価とは大きく矛盾しない。
25	田宮 裕涼	UNRESOLVED	MEDIUM_HIGH	NON_PEAK_VALUE_MISSING	短距離レーンは存在するが数値が欠けており、実質的に使える直接物理材料は最高速度だけ。総合走力は未確定。
26	郡司 裕也	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
27	野村 佑希	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
28	ソト	UNRESOLVED	HIGH	NO_CURRENT_POWERPRO_TARGET	現行PowerPro値がなく、比較判定そのものができない。物理材料は後続の実査定には使えるが、PowerProの妥当性判定にはならない。
29	ポランコ	POWERPRO_PLAUSIBLE	MEDIUM	CURRENT_PEAK_AND_2021_COMPLETE_RUN_NO_CONTRADICTION	現在の最高速度は中位下、2021年のT10・T30・T90も低めから中位で、63と大きく矛盾しない。ただし現在性は限定的。
30	佐藤 都志也	UNRESOLVED	MEDIUM_HIGH	PEAK_AND_50M_CONFLICT	現在の最高速度は中位下だが、測定年不明の50mは速い。物理レーンが食い違い、71の妥当性を決められない。
31	友杉 篤輝	POWERPRO_PLAUSIBLE	HIGH	THREE_PHYSICAL_DIMENSIONS_ALIGN_HIGH	現在の最高速度、H2F、短距離の3方向がいずれも速い。87という高評価と整合する。
32	安田 尚憲	POWERPRO_PLAUSIBLE	HIGH	PEAK_AND_50M_ALIGN_LOW	現在の最高速度は下位で、50mも遅い。S・試合文脈も同方向であり、46という低評価と整合する。
33	小川 龍成	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
34	山口 航輝	POWERPRO_TOO_LOW	MEDIUM	PHYSICAL_SPEED_SEPARATED_FROM_TECHNIQUE	現在の最高速度と50mは52より速い方向を示し、Communityは『足は速い』と『盗塁のセンスはない』を明確に分離している。低いS・試合指標を純粋な脚力低下へ読み替えられない。
35	岡 大海	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_50M_ALIGN_HIGH	現在の最高速度と50mは速い方向で、現在のS・試合文脈もプラス。82と整合する。
36	藤原 恭大	POWERPRO_PLAUSIBLE	HIGH	THREE_PHYSICAL_DIMENSIONS_ALIGN_HIGH	現在の最高速度、H2F、50mの3つが速い方向で一致し、現在の補助材料も同方向。85と整合する。
37	藤岡 裕大	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
38	髙部 瑛斗	POWERPRO_PLAUSIBLE	HIGH	PEAK_AND_50M_ALIGN_ELITE	現在の最高速度は最上位層で、50mも速く、現在のS・試合文脈も高い。90と整合する。
39	古賀 悠斗	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
40	外崎 修汰	UNRESOLVED	MEDIUM_HIGH	CURRENT_PEAK_AND_2024_H2F_CONFLICT	現在の最高速度は上位寄りだが、2024年H2Fはかなり遅い。走りの形が食い違うため68を確定できない。
41	源田 壮亮	POWERPRO_PLAUSIBLE	HIGH	CURRENT_PEAK_AND_RECENT_H2F_ALIGN_HIGH	現在の最高速度が速く、2024年を含む複数のH2Fも速い。80と整合する。
42	滝澤 夏央	POWERPRO_PLAUSIBLE	MEDIUM_HIGH	PEAK_AND_50M_ALIGN_HIGH	現在の最高速度と50mがいずれも速い。85と整合するが、50mの測定年不明により確信度は少し下がる。
43	石井 一成	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
44	ファビアン	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
45	モンテロ	POWERPRO_PLAUSIBLE	MEDIUM	RECENT_COMPLETE_RUN_EXPLAINS_LOW_RATING	現在の最高速度は一定水準だが、2024年T90は4.20秒でSprint Speedも低め。最近の走り切り材料が低い総合評価を説明し、49と整合する。
46	名原 典彦	UNRESOLVED	HIGH	NO_CURRENT_POWERPRO_TARGET	現行PowerPro値がなく、比較判定そのものができない。物理材料は後続の実査定には使えるが、PowerProの妥当性判定にはならない。
47	坂倉 将吾	UNRESOLVED	MEDIUM_HIGH	LOW_PHYSICAL_EVIDENCE_VS_HIGHER_PP_TEMPORAL_UNKNOWN	現在の最高速度と50mは低めだが、50mの測定年が不明。68を高すぎると断定できるほど時間軸が揃っていない。
48	小園 海斗	UNRESOLVED	MEDIUM_HIGH	OLD_H2F_AND_MISSING_SHORT_VALUE	現在の最高速度は中位、H2Fは2016年で、短距離数値も欠ける。現在の79を検証できない。
49	矢野 雅哉	UNRESOLVED	MEDIUM_HIGH	PEAK_VS_SHORT_AND_CONTEXT_CONFLICT	観測された最高速度は低い一方、50mとS・試合文脈は高い。レーンが衝突しており未確定。
50	秋山 翔吾	POWERPRO_PLAUSIBLE	LOW_MEDIUM	CURRENT_PEAK_AND_2021_COMPLETE_RUN_NO_CONTRADICTION	現在の最高速度は測定機会が少ないが、2021年のT10・T30・T90と現在の補助文脈は上位方向。73とは大きく矛盾しないが現在性は限定的。
51	菊池 涼介	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
52	野間 峻祥	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
53	サンタナ	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_COMPLETE_RUN_ALIGN_LOW	現在の最高速度は下位寄りで、2020年のT10・T30・T90も低い方向。47と整合する。
54	並木 秀尊	UNRESOLVED	MEDIUM_HIGH	CEILING_RATING_NOT_SUPPORTED_ACROSS_DIMENSIONS	現在の最高速度は最上位だが、H2Fは平均程度で、50m記録も5.32秒と6.06秒で食い違う。97という上限近い総合評価を全次元では確認できない。
55	中村 悠平	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
56	丸山 和郁	POWERPRO_PLAUSIBLE	HIGH	THREE_PHYSICAL_DIMENSIONS_ALIGN_HIGH	現在の最高速度、H2F、50mの3つが速い方向で一致。86と整合する。
57	古賀 優大	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
58	塩見 泰隆	POWERPRO_TOO_HIGH_OR_STALE	HIGH	CURRENT_DECLINE_AND_POOR_END_TO_END	最高速度が一定水準でも走力全体は別。H2Fが非常に遅く、Sのプラス値は信頼度0・PA0で、2026年の複数観察も怪我・年齢による低下を示す。83は高すぎるか古い可能性が高い。
59	岩田 幸宏	UNRESOLVED	MEDIUM_HIGH	ELITE_DIRECTION_BUT_CEILING_WHOLE_CONSTRUCT_UNOBSERVED	『非常に速い』方向は最高速度・S・試合文脈・Communityで強く支持される。ただし96はほぼ上限の総合走力で、加速・H2F・T90・30m・50mがなく数値そのものは確認できない。
60	長岡 秀樹	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
61	太田 光	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
62	村林 一輝	UNRESOLVED	MEDIUM_HIGH	CURRENT_PEAK_VS_OLD_50M_CONFLICT	現在の最高速度は最上位だが、非最高速度の直接材料は2015年50m6.2秒のみ。時間軸と方向が合わず69を決められない。
63	浅村 栄斗	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
64	渡邊 佳明	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
65	鈴木 大地	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
66	京田 陽太	UNRESOLVED	MEDIUM_HIGH	PEAK_AND_50M_CONFLICT	現在の最高速度は中位下だが、測定年不明の50mは速い。物理レーンが衝突し78を決められない。
67	佐野 恵太	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
68	宮﨑 敏郎	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
69	山本 祐大	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
70	度会 隆輝	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
71	林 琢真	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_SHORT_DISTANCE_SUPPORT_HIGH	現在の最高速度は上位寄りで、2022年および年不明の50mも速い。82と大きく矛盾しないが、最高速度の測定機会が少ないため確信度は中程度。
72	梶原 昂希	POWERPRO_PLAUSIBLE	MEDIUM_HIGH	THREE_PHYSICAL_DIMENSIONS_SUPPORT_HIGH	現在の最高速度は最上位で、50mも速い。H2Fは平均程度なので90の厳密な上限までは証明しないが、大きな矛盾はない。
73	牧 秀悟	UNRESOLVED	HIGH	NO_CURRENT_POWERPRO_TARGET	現行PowerPro値がなく、比較判定そのものができない。物理材料は後続の実査定には使えるが、PowerProの妥当性判定にはならない。
74	筒香 嘉智	POWERPRO_PLAUSIBLE	HIGH	PEAK_AND_2022_COMPLETE_RUN_ALIGN_LOW	現在の最高速度と2022年のT10・T30・T90・Sprint Speedがすべて低い方向。45と整合する。
75	蝦名 達夫	POWERPRO_PLAUSIBLE	LOW_MEDIUM	PEAK_AND_50M_NO_MATERIAL_CONTRADICTION	現在の最高速度は中位、50mは速く、S・試合文脈もプラス。75と大きく矛盾しないが、50mの測定年が不明。
76	今宮 健太	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
77	周東 佑京	POWERPRO_PLAUSIBLE	HIGH	CURRENT_PEAK_H2F_AND_50M_ALIGN_ELITE	現在の最高速度1位、2024年を含む速いH2F、速い50mが一致。96という最上位評価と整合する。
78	山川 穂高	POWERPRO_PLAUSIBLE	HIGH	PEAK_AND_50M_ALIGN_LOW	現在の最高速度は下位で、50mも遅く、S・試合文脈も同方向。47と整合する。
79	柳田 悠岐	UNRESOLVED	MEDIUM_HIGH	CURRENT_AND_HISTORICAL_DIMENSIONS_MIXED	現在の最高速度は上位寄りだが、H2F・50mは古く、S・試合文脈は低い。現在のCommunityは肯定的でも標準化された走り切り測定ではなく未確定。
80	柳町 達	POWERPRO_PLAUSIBLE	LOW_MEDIUM	PEAK_AND_50M_NO_MATERIAL_CONTRADICTION	現在の最高速度と50mはいずれも中位の身体像。67とは大きく矛盾しないが、50mの測定年不明で確信度は限定的。
81	栗原 陵矢	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_50M_ALIGN_LOW_MIDDLE	現在の最高速度と50mがともに中位下。59と整合する。
82	正木 智也	POWERPRO_PLAUSIBLE	MEDIUM_HIGH	PEAK_AND_50M_ALIGN_LOW	現在の最高速度は中位下、50mは遅く、補助材料も低い。48と整合する。
83	海野 隆司	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
84	牧原 大成	POWERPRO_PLAUSIBLE	HIGH	THREE_PHYSICAL_DIMENSIONS_ALIGN_HIGH	現在の最高速度は最上位層で、バントH2Fと50mも速い。82と整合する。
85	近藤 健介	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
86	丸 佳浩	UNRESOLVED	HIGH	NO_CURRENT_POWERPRO_TARGET	現行PowerPro値がなく、比較判定そのものができない。物理材料は後続の実査定には使えるが、PowerProの妥当性判定にはならない。
