exclusion_id	scope	item	old_reason	verdict	corrected_policy	task_ids	owner_review_block	gate_block	evidence
EX-001	speed_physical	protocol-unknown/manual/profile 30m/50m	計測方式が不明・手計測で誤差があるためnumeric evidenceから除外	VALID_DOWNGRADE_NOT_ZERO	SP-017是正(2026-08-13)完了: 対象57件(REJECTED_PROTOCOL_OR_DATE_NOT_PUBLICLY_DOCUMENTED等3種)をoutputs/derived/sp017_physical_measurement_range_reclassification.jsonへ非破壊overlayとしてrange+confidence+protocol/temporal flag付きhistorical/profile evidenceへ復元。30m/50m→T90比例変換は引き続き禁止(EX-020)。	SP-017,SP-020	0	0	data/manual/npb_speed_physical_evidence_full_20260809.json;docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md;docs/audits/sp017_physical_measurement_range_reclassification_20260813.md;outputs/derived/sp017_physical_measurement_range_reclassification.json
EX-002	speed_physical	measurement date unknown/year-estimated physical records	正確な測定年・日付がないためcurrent判断に使わない	VALID_DOWNGRADE_NOT_ZERO	SP-017是正(2026-08-13)完了: 対象57件(REJECTED_PROTOCOL_OR_DATE_NOT_PUBLICLY_DOCUMENTED等3種)をoutputs/derived/sp017_physical_measurement_range_reclassification.jsonへ非破壊overlayとしてrange+confidence+protocol/temporal flag付きhistorical/profile evidenceへ復元。30m/50m→T90比例変換は引き続き禁止(EX-020)。	SP-017,SP-020	0	0	data/manual/npb_speed_physical_evidence_full_20260809.json;docs/audits/sp017_physical_measurement_range_reclassification_20260813.md;outputs/derived/sp017_physical_measurement_range_reclassification.json
EX-003	speed_acceleration	home-to-first / H2F	左右打席・スイング・最初の一歩等が混ざるためCONTEXT_ONLYで点数に一切使わない	VALID_DOWNGRADE_NOT_ZERO	SP-007是正(2026-08-13)完了: hp_to_1b実測31件(15選手)をbunt/normal-swing分離・重複dedup・打者左右結合のうえサンプル内標準化し、低信頼度別レーン(H2F_NORMAL_SWING_LOW_CONFIDENCE n=15, H2F_BUNT_LOW_CONFIDENCE n=4)として新設。strict T90パイプライン(speedComponents)は無変更・EX-015のnegative findingも上書きしない。単独で走力点は決めずowner review併記材料として保持。	SP-007	0	0	docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md;docs/audits/sp007_h2f_low_confidence_lane_20260813.md;outputs/derived/sp007_h2f_low_confidence_lane.json
EX-004	speed_proxy	base-to-base / infield-grounder / infield-hit / GIDP / triples / extra-base outcomes	走塁技術・打球・機会など交絡があるためstrict pathで0情報または補助外へ	OVERBROAD_REOPEN	2026-08-14 Opus review で再open。閉じる根拠の一脚が SP-062（0レコード・データアクセス無し）で、もう一脚の SP-061 は sweep が未完（第2ソース取りこぼし）。SP-060 は実データ1件。再closeは SP-061 再sweep後。 ｜前回の記述: 2026-08-14 是正完了。model層のproxyはSP-019（三塁打分離はVALID_EXCLUSION、GB率はNOT_IDENTIFIABLE_PROVISIONAL）。scoutingは1件をlow/medium priorとして棚卸し・教師にしない(SP-060)。代走は弱い文脈5件・教師にしない(SP-061)。守備直線追走は分離不能で判断に使えない(SP-062)。	SP-019,SP-060,SP-061,SP-062	1	1	docs/audits/sp019_construct_validity_reaudit_v2_20260813.md;outputs/derived/sp060_scouting_inventory_20260814.json;outputs/derived/sp061_pinch_runner_weak_context_20260814.json;outputs/derived/sp062_defensive_chase_close_20260814.json;docs/audits/sp036_039_060_061_062_cleanup_20260814.md
EX-005	speed_proxy	advance observations below fixed opportunity threshold	advanceChancesが20/25未満なら値自体をnull/未使用にする	VALID_DOWNGRADE_NOT_ZERO	SP-018是正(2026-08-13)完了: src/ratings/running.mjsのadvanceChances>=20ハードカットを撤去、機会があれば常に観測値を保持しreliability=chances/(chances+kappa=20)による連続shrinkageへ置換。統計量が数学的に未定義(chances=0)の場合のみnull。baserunningAbility()の同種カットも同様に是正。	SP-018	0	0	src/ratings/running.mjs;configs/running_norms.json;docs/audits/speed_2026_100_before_after_sp015_016_20260813.md
EX-006	speed_proxy	infield-hit ground-ball-rate deconfounding	GB率を外すとUBRとの相関が下がるためGB交絡を残した	NOT_IDENTIFIABLE_PROVISIONAL_CURRENT_BEHAVIOR	SP-019第2版(2026-08-13)で外部physical evidenceに対して再判定したが決着せず。主基準NPB+ sprint speed(n=91) raw=0.651/resid=0.521 差-0.130 CI95[-0.248,+0.010]=0をまたぐ。副基準50m実測(n=34、低信頼度) 差-0.286 CI95[-0.588,-0.046]=0を除外。方向は両基準一致(rawが近い)だが検出力のある主基準で有意に達しない。現行動作(GB率を外さない)を暫定維持するがOPENのまま。★「GB率がpure physical speed signalである」機構は確立していない。決着条件=direct T90のcoverage拡大(現在n=2)/50m実測のprotocol補完/打球方向・打球速度別の層別。 ★2026-08-14 オーナー裁定によりNOT_IDENTIFIABLE_PROVISIONALを正式な終端状態として採用。direct physical evidenceで識別できない以上、無理に閉じずこの状態で確定させる。gate blockは解除するが VALID_* とは別枠で数え続け見えなくならないようにする。決着条件=direct T90のcoverage拡大(現在n=2)/50m実測のprotocol補完でconfidence引き上げ/打球方向・打球速度別の層別で脚力とゴロ率を分離。	SP-019	0	0	configs/running_norms.json;docs/audits/sp019_proxy_deconfounding_reaudit_20260813.md;outputs/derived/sp019_proxy_deconfounding_reaudit.json;docs/audits/sp019_construct_validity_reaudit_v2_20260813.md;outputs/derived/sp019_construct_validity_vs_physical_evidence.json
EX-007	speed_proxy	triple baserunning-component separation	分離すると翌年再現性が悪化したため分離しない	VALID_EXCLUSION	SP-019第2版(2026-08-13)で外部physical evidenceに対して再判定し決着。判定基準=NPB+ sprint speed(n=91、主基準)とSP-017復元の50m実測(n=34、競技場外・in-game confound非共有)。raw三塁打割合 vs 走塁成分残差版で、主基準 raw=0.390/resid=0.252 差-0.138 CI95[-0.213,-0.083](0を含まない)、副基準も同方向。残差化はconstructから遠ざかる=引いた自作advance指標自体が相当程度脚力の測定値でありbiasでなくsignalを引いていた。分離しない(現行維持)。第1版の分散増加のみの根拠は撤回。	SP-015,SP-019	0	0	outputs/triple_rate_separation_20260805.md;docs/audits/speed_next_year_repeatability_policy_correction_20260813.md;docs/audits/sp019_proxy_deconfounding_reaudit_20260813.md;outputs/derived/sp019_proxy_deconfounding_reaudit.json;docs/audits/sp019_construct_validity_reaudit_v2_20260813.md;outputs/derived/sp019_construct_validity_vs_physical_evidence.json
EX-008	speed_model	component weights for triple/GDP/infieldHit/UBR/advance	翌年再現性をそのままweightにした	VALID_EXCLUSION	SP-015 final(2026-08-14)で是正完了。翌年再現性をweightにしていた旧方式は撤去され、final weightは6軸=construct directness(軸6が代弁)/同時点測定信頼性/標本誤差/交絡(ISO偏相関で除去)/temporal proximity(current-yearでは定数)/独立physical convergence(NPB+ raw sprint speed)から設計。合成=max(0,信頼性)×|偏相関(材料,NPB+|ISO)|。翌年再現性もPowerPro個人ラベルも一切使っていない。旧2版は_componentWeightsLegacy*としてcontrol保持。	SP-015	0	0	src/ratings/running.mjs;configs/running_norms.json;docs/audits/sp015_final_weight_design_20260814.md;outputs/derived/sp015_final_weight_design.json
EX-009	speed_model	current-year evidence diluted by automatic multi-year pooling	身体能力は年でほぼ変わらない・翌年予測が改善するため前後年を全員へ自動pool	VALID_TRANSFORMATION_EXCLUSION	Production now has a deterministic current-year-first transformation: at or above 50 PA history is mathematically absent; below 50 PA it is an explicitly bounded zero-centered low-sample prior. The historical term uses deduplicated NF3 player-season evidence, not a PA>=100 deletion filter. The repaired calibrated cohort is n=260 with 241 historical-prior recipients and median historical PA=505 after removing 15 duplicate player-seasons/1,628 PA; failable algebra/coverage/negative-fixture QA passes.	SP-016	0	0	src/ratings/durable_traits.mjs;src/cards/durable_estimate.mjs;configs/running_norms.json;scripts/sp016_current_year_first_repair_qa_20260816.mjs;outputs/derived/sp016_current_year_first_repair_qa_20260816.json;docs/audits/sp016_current_year_first_repair_20260816.md
EX-010	community_rating	Grok-X game-rating / game-discussion posts	physical observationではないため除外	VALID_DOWNGRADE_NOT_ZERO	2026-08-15 Community V3 final semantic auditで、game-rating/discussionをPowerPro/Prospi rating-contextとしてcanonical化し、対象能力・identity・originを再検査。physical teacher、数値変換、automatic stale promotionには使わない。PowerProはodd-rating/owner-review文脈、Prospiはcommunity contextのみで独立physical truth・stale supportには使わない。	SP-032,SP-035	0	0	docs/tasks/CODEX_SPEED_COMMUNITY_RATING_RESCUE_20260813.md;outputs/derived/sp032_grok_x_150_reclassification_20260813.jsonl;docs/audits/sp032_036_037_community_normalize_and_reclass_20260813.md;outputs/derived/sp035_x_official_rescue_20260813.json;outputs/derived/speed_community_v3_canonical_20260815.jsonl;outputs/derived/speed_community_v3_semantic_audit_qa_20260815.json;docs/audits/speed_community_v3_terra_final_audit_20260815.md
