player,player_key,player_id,team,pre_video_classification,video_classification,evidence_strength,discovered_video_count,accepted_video_source_count,usable_current_full_effort_play_count,unique_candidate_play_count,unique_candidate_game_event_count,unique_candidate_origin_count,post_video_resolution_status,remains_in_video_unresolved_queue,rationale,no_numeric_game_rating,no_video_derived_numeric_measure
西野 真弘,西野真弘,91495130,オリックス・バファローズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,2,2,2,UNRESOLVED,true,"Two official 2025 candidates were found, but one is explicitly bunt/baserunning-technique context and one is a home-run highlight. Neither was visually reviewed because browser attachment failed; no ordinal direction is supportable.",true,true
カリステ,カリステ,93795157,中日ドラゴンズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,2,2,2,UNRESOLVED,true,"Two distinct 2025 candidates were recovered with exact IDs, but neither could be visually inspected for normal speed/effort and the first is additionally contaminated by baserunning decisions and turns.",true,true
土田 龍空,土田龍空,51455153,中日ドラゴンズ,MIXED_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,WEAK,1,0,0,1,1,1,UNRESOLVED,true,The reviewed current fan video is a batting-result clip; effort and a direct straight segment cannot be separated from transition and baserunning context.,true,true
大島 洋平,大島洋平,01305131,中日ドラゴンズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,2,2,2,UNRESOLVED,true,"A 2026 broadcast training feature and a 2025 official-club game feature were discovered, but neither could be visually reviewed for normal speed, effort, or a usable straight segment.",true,true
友杉 篤輝,友杉篤輝,71275157,千葉ロッテマリーンズ,METRIC_CONSTRUCT_CONFLICT_REMAINS,VIDEO_INCONCLUSIVE,WEAK,1,0,0,1,1,1,UNRESOLVED,true,No reviewed 2025–2026 candidate supplied a pure full-effort current straight run. The examined official candidate is a 2023 edited defensive feature and is excluded.,true,true
外崎 修汰,外崎修汰,41245130,埼玉西武ライオンズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,3,0,0,3,3,3,UNRESOLVED,true,The discovered current candidates are an interview and a home-run highlight; an undated title explicitly about baserunning technique was also excluded. No physical conclusion is drawn.,true,true
矢野 雅哉,矢野雅哉,93395153,広島東洋カープ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,3,0,0,3,3,3,UNRESOLVED,true,"A 2025 fielding clip was excluded by construct, a 2026 third-party all-at-bats montage could not be inspected, and the remaining broadcast candidate is outside the current window.",true,true
野間 峻祥,野間峻祥,01405130,広島東洋カープ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,2,2,2,UNRESOLVED,true,"Two distinct 2026 candidates were body-reviewed, but neither supplied an identifiable, normal-speed, full-effort physical-running observation.",true,true
中村 悠平,中村悠平,51255118,東京ヤクルトスワローズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,1,0,0,1,1,1,UNRESOLVED,true,The current candidate is an injury-stoppage clip rather than a running observation; no position-based inference was made.,true,true
林 琢真,林琢真,91695157,横浜DeNAベイスターズ,METRIC_CONSTRUCT_CONFLICT_REMAINS,VIDEO_INCONCLUSIVE,WEAK,1,0,0,1,1,1,UNRESOLVED,true,"The reviewed 2025 official walk-off clip is current but batter-to-first/replay context only, not a pure isolated running observation.",true,true
