player,team,packet_id,case_type,baseline_current_band,pre_grok_classification,grok_x_only_classification,combined_classification,grok_x_raw_candidate_count,grok_x_accepted_source_count,grok_x_independent_source_count,grok_x_qualifying_independent_x_count,independent_x_count,independent_qualifying_x_count,independent_other_sns_count,total_independent_sns_count,strict_sns_requirement_met,decision_constraint,video_tiebreak_recommended,classification_reason,accepted_grok_source_ids,accepted_combined_source_ids,rejected_grok_source_ids
西野 真弘,オリックス・バファローズ,P009,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,13,2,2,1,2,1,0,2,false,still unresolved,true,2026年の一般的な俊足類型と単発の足が速い評価は残るが、一般ラベルだけでstrict 2起源を満たしたとは扱わない。,"[""GXSR059"",""GXSR061""]","[""GXSR059"",""GXSR061""]","[""GXSR050"",""GXSR051"",""GXSR052"",""GXSR053"",""GXSR054"",""GXSR055"",""GXSR056"",""GXSR057"",""GXSR058"",""GXSR060"",""GXSR062""]"
カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,4,1,1,0,1,0,0,1,false,still unresolved,true,2026年の質問形式投稿は直接評価ではないため除外し、残る一般的な俊足類型ラベル1起源では方向を決着しない。,"[""GXSR002""]","[""GXSR002""]","[""GXSR001"",""GXSR003"",""GXSR004""]"
土田 龍空,中日ドラゴンズ,P011,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,MIXED_CONSENSUS,MIXED_CONSENSUS,13,4,4,4,4,4,1,5,true,widen uncertainty,true,2025–26年に速い・普通・遅いのいずれの直接評価も独立にあり、方向を固定できない。,"[""GXSR091"",""GXSR095"",""GXSR099"",""GXSR100""]","[""SNSR005"",""GXSR091"",""GXSR095"",""GXSR099"",""GXSR100""]","[""GXSR090"",""GXSR092"",""GXSR093"",""GXSR094"",""GXSR096"",""GXSR097"",""GXSR098"",""GXSR101"",""GXSR102""]"
大島 洋平,中日ドラゴンズ,P012,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,14,1,1,1,1,1,0,1,false,still unresolved,true,日付と本文が揃う有効なGrok-X根拠は1起源のみで、現在帯を解像できない。,"[""GXSR064""]","[""GXSR064""]","[""GXSR063"",""GXSR065"",""GXSR066"",""GXSR067"",""GXSR068"",""GXSR069"",""GXSR070"",""GXSR071"",""GXSR072"",""GXSR073"",""GXSR074"",""GXSR075"",""GXSR076""]"
木下 拓哉,中日ドラゴンズ,P014,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,SUPPORTS_CURRENT_ORDINAL,SUPPORTS_CURRENT_ORDINAL,19,5,5,5,5,5,1,6,true,current band supported,false,2025–26年の別作者5起源が一貫して遅い側と直接評価し、最遅帯の現行順序を支持する。,"[""GXSR136"",""GXSR137"",""GXSR138"",""GXSR140"",""GXSR141""]","[""SNSR011"",""GXSR136"",""GXSR137"",""GXSR138"",""GXSR140"",""GXSR141""]","[""GXSR128"",""GXSR129"",""GXSR130"",""GXSR131"",""GXSR132"",""GXSR133"",""GXSR134"",""GXSR135"",""GXSR139"",""GXSR142"",""GXSR143"",""GXSR144"",""GXSR145"",""GXSR146""]"
友杉 篤輝,千葉ロッテマリーンズ,P031,TYPE_B_PHYSICAL_ORDER_CONFLICT,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,METRIC_CONSTRUCT_CONFLICT,METRIC_CONSTRUCT_CONFLICT,6,3,3,3,3,3,0,3,true,widen uncertainty,true,現行の速さ支持は得たが、指定pairwise検索4件は全て結果なしで、Type Bの身体的順序衝突を解消できない。,"[""GXSR160"",""GXSR163"",""GXSR165""]","[""GXSR160"",""GXSR163"",""GXSR165""]","[""GXSR161"",""GXSR162"",""GXSR164""]"
岡 大海,千葉ロッテマリーンズ,P035,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,SUPPORTS_CURRENT_ORDINAL,SUPPORTS_CURRENT_ORDINAL,8,4,4,4,4,4,0,4,true,current band supported,false,2025–26年の別作者による速さ・加速の直接観察が複数あり、現行上位帯を定性的に支持する。,"[""GXSR019"",""GXSR020"",""GXSR023"",""GXSR024""]","[""GXSR019"",""GXSR020"",""GXSR023"",""GXSR024""]","[""GXSR017"",""GXSR018"",""GXSR021"",""GXSR022""]"
藤岡 裕大,千葉ロッテマリーンズ,P037,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,TEMPORAL_CHANGE_SUPPORTED,TEMPORAL_CHANGE_SUPPORTED,9,3,3,2,3,2,0,3,true,temporal decline supported,false,2024–25年の別作者が脚力・足の速さの低下を直接言及し、低下という時間的変化のみを支持する。,"[""GXSR104"",""GXSR107"",""GXSR110""]","[""GXSR104"",""GXSR107"",""GXSR110""]","[""GXSR103"",""GXSR105"",""GXSR106"",""GXSR108"",""GXSR109"",""GXSR111""]"
外崎 修汰,埼玉西武ライオンズ,P040,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,6,1,1,1,1,1,0,1,false,still unresolved,true,2026年の脚力評価は1起源のみで、現行順位の決着には足りない。,"[""GXSR028""]","[""GXSR028""]","[""GXSR025"",""GXSR026"",""GXSR027"",""GXSR029"",""GXSR030""]"
矢野 雅哉,広島東洋カープ,P049,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,6,1,1,0,1,0,0,1,false,still unresolved,true,2026年の俊足評価は1起源のみで、走塁結果由来の投稿は除外した。,"[""GXSR158""]","[""GXSR158""]","[""GXSR154"",""GXSR155"",""GXSR156"",""GXSR157"",""GXSR159""]"
野間 峻祥,広島東洋カープ,P052,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,7,1,1,0,2,0,0,2,false,still unresolved,true,既存とGrok-Xの2件はいずれも一般的な速さラベルで、直接観察を伴うstrict consensusにはしない。,"[""GXSR150""]","[""SNSR027"",""GXSR150""]","[""GXSR147"",""GXSR148"",""GXSR149"",""GXSR151"",""GXSR152"",""GXSR153""]"
並木 秀尊,東京ヤクルトスワローズ,P054,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,SUPPORTS_CURRENT_ORDINAL,12,1,1,1,2,2,0,2,true,current band supported,false,Grok-Xは1起源だが、既存の別X起源と合わせると現在の速さ支持が2起源となる。,"[""GXSR127""]","[""SNSR033"",""GXSR127""]","[""GXSR116"",""GXSR117"",""GXSR118"",""GXSR119"",""GXSR120"",""GXSR121"",""GXSR122"",""GXSR123"",""GXSR124"",""GXSR125"",""GXSR126""]"
中村 悠平,東京ヤクルトスワローズ,P055,TYPE_A_CURRENT_SAMPLE_INSTABILITY,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,13,1,1,1,1,1,0,1,false,still unresolved,true,現在の遅さ言及は同一出来事群の1起源に留まり、複数の実況転載を票として数えない。,"[""GXSR084""]","[""GXSR084""]","[""GXSR077"",""GXSR078"",""GXSR079"",""GXSR080"",""GXSR081"",""GXSR082"",""GXSR083"",""GXSR085"",""GXSR086"",""GXSR087"",""GXSR088"",""GXSR089""]"
