player,team,packet_id,case_type,pre_grok_classification,grok_x_only_classification,combined_classification,independent_x_count,total_independent_sns_count,reason
西野 真弘,オリックス・バファローズ,P009,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,2,2,2026年の一般的な俊足類型と単発の足が速い評価は残るが、一般ラベルだけでstrict 2起源を満たしたとは扱わない。
カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,1,1,2026年の質問形式投稿は直接評価ではないため除外し、残る一般的な俊足類型ラベル1起源では方向を決着しない。
土田 龍空,中日ドラゴンズ,P011,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,MIXED_CONSENSUS,MIXED_CONSENSUS,4,5,2025–26年に速い・普通・遅いのいずれの直接評価も独立にあり、方向を固定できない。
大島 洋平,中日ドラゴンズ,P012,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,1,1,日付と本文が揃う有効なGrok-X根拠は1起源のみで、現在帯を解像できない。
友杉 篤輝,千葉ロッテマリーンズ,P031,TYPE_B_PHYSICAL_ORDER_CONFLICT,INSUFFICIENT_SNS_EVIDENCE,METRIC_CONSTRUCT_CONFLICT,METRIC_CONSTRUCT_CONFLICT,3,3,現行の速さ支持は得たが、指定pairwise検索4件は全て結果なしで、Type Bの身体的順序衝突を解消できない。
外崎 修汰,埼玉西武ライオンズ,P040,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,1,1,2026年の脚力評価は1起源のみで、現行順位の決着には足りない。
矢野 雅哉,広島東洋カープ,P049,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,1,1,2026年の俊足評価は1起源のみで、走塁結果由来の投稿は除外した。
野間 峻祥,広島東洋カープ,P052,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,2,2,既存とGrok-Xの2件はいずれも一般的な速さラベルで、直接観察を伴うstrict consensusにはしない。
中村 悠平,東京ヤクルトスワローズ,P055,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,1,1,現在の遅さ言及は同一出来事群の1起源に留まり、複数の実況転載を票として数えない。
林 琢真,横浜DeNAベイスターズ,P071,TYPE_B_PHYSICAL_ORDER_CONFLICT,METRIC_CONSTRUCT_CONFLICT,METRIC_CONSTRUCT_CONFLICT,METRIC_CONSTRUCT_CONFLICT,3,3,速さ支持はあるが、指定pairwise検索で友杉等との順序根拠は得られず、Type B衝突を解消できない。
梶原 昂希,横浜DeNAベイスターズ,P072,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,INSUFFICIENT_SNS_EVIDENCE,2,3,2025–26年の速いという一般評価は残るが、プレー観察・比較を欠く類型ラベルだけで最上位帯を決着しない。
梅野 隆太郎,阪神タイガース,P099,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,MIXED_CONSENSUS,MIXED_CONSENSUS,2,2,2024年の遅い評価と2026年の速い評価が両立し、2026年側は同一出来事群として1起源に留める。
