candidate_number	evidence_id	family	item	construct	status	source_authority	source_or_metric	source_url_or_repo_artifact	current_local_asset	coverage_denominator	existing_requirement_ids	existing_sp_routes	evidence_role	independence_or_double_count_risk	known_bias_or_confounding	validation_needed	next_action	implementation_status	decision_use_status	direct_numeric_promotion_allowed
1	SP103-EV-001	direct_physical	NPB+ Hawk-Eye Sprint Speed / スプリントスピード	peak_speed	IMPLEMENTED	official NPB+ Hawk-Eye field; local raw table	NPB+ Hawk-Eye Sprint Speed / スプリントスピード	"[""https://www.japan-baseball.jp/npb-plus/""]"	data/pennant.db:npb_plus_measurement.top_speed_kmh;outputs/derived/sp100_npb_raw_latent_speed.json	"{""db_rows"": 109, ""non_null"": 100}"	"[""SR-003"", ""SR-010"", ""SR-061""]"	"[""SP-100"", ""SP-101""]"	PowerPro-free physical primary/context lane	same-source and same-player dependency with other NPB+ fields	season/exposure and measurement-reliability are not identifiable in the current snapshot	preserve raw provenance and keep reliability/exposure separate	SP-100 N-primary only; no final practical numeric output	IMPLEMENTED	IMPLEMENTED_SEPARATE_FROM_POWERPRO	False
2	SP103-EV-002	direct_physical	NPB+ Hawk-Eye 最速タイム（一塁到達）	home_to_first_end_to_end	SOURCE_CONFIRMED_NEW	official NPB+ product surface; current field availability verified, old local provenance invalid	NPB+ Hawk-Eye 最速タイム（一塁到達）	[]	data/pennant.db:npb_plus_measurement.hp_to_1b_sec (old local field quarantined)	"{""current_value_rows"": 0, ""old_local_rows"": 100}"	"[""SR-004"", ""SR-008"", ""SR-055"", ""SR-058""]"	"[""SP-007"", ""SP-100""]"	separate current H2F discovery lane	H2F/90-foot may share contact and play context; do not double count	old local field is MISATTRIBUTED_SOURCE; current official player values were not retrieved	recollect with per-player provenance, batting side, swing/bunt protocol and date	SCOPED_REJECTED_OLD_VALUES; current source reopened only	SOURCE_CONFIRMED_NEW	"[""https://www.japan-baseball.jp/npb-plus/"", ""docs/audits/luna_npb_plus_provenance_contamination_20260814.md""]"	False
3	SP103-EV-003	direct_physical	MLB Statcast Sprint Speed	peak_speed	IMPLEMENTED_INCOMPLETE	official Baseball Savant/Statcast	MLB Statcast Sprint Speed	[]	data/manual/sp101_mlb_sprint_speed_rows_20260818.json	"{""non_null"": 264, ""rows"": 264}"	"[""SR-010"", ""SR-011"", ""SR-061""]"	"[""SP-101"", ""MB-01"", ""MB-02""]"	MLB physical bridge/anchor context	same-system rows can be duplicated with 90-foot or H2F events	MLB population and NPB transfer are not exchangeable without support checks	player-clustered/forward holdout and common-support calibration	bridge/anchor only; no direct NPB final value	IMPLEMENTED_INCOMPLETE	"[""https://baseballsavant.mlb.com/leaderboard/sprint_speed""]"	False
4	SP103-EV-004	direct_physical	MLB Statcast 90-foot Running Splits and 5-foot cumulative splits	acceleration_shape_and_end_to_end	SOURCE_CONFIRMED_NEW	official MLB glossary and Baseball Savant running-splits surface	MLB Statcast 90-foot Running Splits and 5-foot cumulative splits	[]	no local player-level 90-foot split table found in tracked assets	"{""local_rows"": 0, ""source_surface"": ""verified""}"	"[""SR-008"", ""SR-011"", ""SR-055""]"	"[""SP-101"", ""MB-12"", ""MB-18""]"	potential acceleration/standardized end-to-end bridge	same plays may underlie Sprint Speed and HP-to-1B	public surface defines metric but no frozen eligible row extraction exists	collect 5-foot splits with season, batting side, qualifiers and raw denominators	NOT_COLLECTED_EXTERNAL_OPPORTUNITY	SOURCE_CONFIRMED_NEW	"[""https://www.mlb.com/glossary/statcast/90-foot-running-splits"", ""https://baseballsavant.mlb.com/running_splits""]"	False
5	SP103-EV-005	direct_physical	MLB Statcast Outfielder Jump Burst	defensive_burst	SOURCE_CONFIRMED_NEW	official MLB Statcast glossary/leaderboard	MLB Statcast Outfielder Jump Burst	[]	no local player-level Jump Burst rows found	"{""local_rows"": 0, ""source_surface"": ""verified""}"	"[""SR-008"", ""SR-052"", ""SR-055""]"	"[""SP-101"", ""MB-15""]"	defensive context, not universal speed	Burst/Reaction/Route are components of one jump event and must be separated	availability for eligible outfielders is not yet preserved as a local row set	collect with Reaction, Burst, Route, position and season; never merge into base-speed point	NOT_COLLECTED_EXTERNAL_OPPORTUNITY	SOURCE_CONFIRMED_NEW	"[""https://www.mlb.com/glossary/statcast/jump"", ""https://baseballsavant.mlb.com/leaderboard/outfield_jump""]"	False
6	SP103-EV-006	direct_physical	historical sourced home-to-first records	home_to_first_end_to_end	COLLECTED_BUT_UNUSED	curated historical articles/video/profile records	historical sourced home-to-first records	[]	data/normalized/speed_historical_physical_measurements_2015_2026.json	"{""records"": 74}"	"[""SR-004"", ""SR-008"", ""SR-055""]"	"[""SP-017"", ""SP-101""]"	historical range/context only	same measurement can be transcribed by multiple sources	protocol/date/handedness are heterogeneous	retain range/confidence and measurement cluster; no proportional T90 conversion	COLLECTED_BUT_UNUSED_RANGE_CONTEXT	COLLECTED_BUT_UNUSED	"[""data/normalized/speed_historical_physical_measurements_2015_2026.json"", ""outputs/derived/sp017_physical_measurement_range_reclassification.json"", ""data/manual/sprint_30m_measurements_curated.json"", ""data/manual/npb_speed_physical_evidence_full_20260809.json""]"	False
7	SP103-EV-007	direct_physical	historical 30m / 50m physical tests	short_distance_acceleration	COLLECTED_BUT_UNUSED	curated physical measurement corpus	historical 30m / 50m physical tests	[]	data/normalized/speed_historical_physical_measurements_2015_2026.json;outputs/derived/sp017_physical_measurement_range_reclassification.json	"{""30m_or_50m_records"": 232}"	"[""SR-004"", ""SR-008"", ""SR-055"", ""SR-056""]"	"[""SP-017"", ""SP-101"", ""MB-12""]"	historical acceleration/context lane	30m/50m is not T90 and can share the same athlete/profile source	standing/flying start, protocol and date incomplete for many rows	store intervals/protocol/date flags; forbid 30m/50m→T90 proportional transform	COLLECTED_BUT_UNUSED_RANGE_CONTEXT	COLLECTED_BUT_UNUSED	"[""data/normalized/speed_historical_physical_measurements_2015_2026.json"", ""outputs/derived/sp017_physical_measurement_range_reclassification.json"", ""data/manual/sprint_30m_measurements_curated.json"", ""data/manual/npb_speed_physical_evidence_full_20260809.json""]"	False
8	SP103-EV-008	direct_physical	direct timed T90 / basepath / full-effort run	end_to_end_basepath	COLLECTED_BUT_UNUSED	curated physical corpus	direct timed T90 / basepath / full-effort run	[]	data/normalized/speed_historical_physical_measurements_2015_2026.json	"{""T90_records"": 12}"	"[""SR-004"", ""SR-008"", ""SR-055""]"	"[""SP-007"", ""SP-101""]"	high-value direct physical lane when protocol is known	duplicate source and protocol variants require cluster/dedup	coverage is small and current-year comparability is limited	expand direct T90 with protocol and timepoint; retain current negative coverage finding	COLLECTED_BUT_UNUSED_LOW_COVERAGE	COLLECTED_BUT_UNUSED	"[""data/normalized/speed_historical_physical_measurements_2015_2026.json""]"	False
9	SP103-EV-009	direct_physical	reproducible NPB tracking-derived event-level baserunning speed	event_running_speed	MEASURED_NEGATIVE	official NPB+ product surface checked; no reproducible event-level export found	reproducible NPB tracking-derived event-level baserunning speed	[]	outputs/derived/sp103_intermediate/lane_b_external_source_verification.json	"{""reproducible_official_rows"": 0}"	"[""SR-047"", ""SR-052"", ""SR-058""]"	"[""SP-101""]"	bounded negative finding	event speed may duplicate Sprint Speed/90-foot fields	official navigation/field availability is not an event-level data extract	reopen only with a reproducible official endpoint/snapshot	MEASURED_NEGATIVE_BOUNDED_PUBLIC_SURFACE	MEASURED_NEGATIVE	"[""https://www.japan-baseball.jp/npb-plus/""]"	False
10	SP103-EV-010	direct_physical	defensive straight-line tracking isolated from reaction/route/positioning	defensive_straight_line_speed	MEASURED_NEGATIVE	repo-wide inventory and SP-062 input audit	defensive straight-line tracking isolated from reaction/route/positioning	[]	outputs/derived/sp062_defensive_chase_close_20260814.json;data/pennant.db	"{""separated_rows"": 0}"	"[""SR-052"", ""SR-055"", ""SR-058""]"	"[""SP-062"", ""SP-101""]"	bounded negative finding	RngR/UZR/Jump contain route, reaction, positioning or fielding skill	no separated NPB fielder tracking row exists in local assets	reopen only after a source exposes separable movement components	MEASURED_NEGATIVE_BOUNDED_LOCAL_UNIVERSE	MEASURED_NEGATIVE	"[""outputs/derived/sp062_defensive_chase_close_20260814.json""]"	False
11	SP103-EV-011	outcome_proxy	infield-hit rate / infield grounder outcomes	batted_ball_and_speed_mixed	IMPLEMENTED_INCOMPLETE	local batting and infield event database	infield-hit rate / infield grounder outcomes	[]	data/pennant.db:batting;data/pennant.db:infield_grounder_events;src/ratings/running.mjs	"{""batting_rows"": 17908, ""grounder_rows"": 31003}"	"[""SR-002"", ""SR-008"", ""SR-009"", ""SR-057""]"	"[""SP-019"", ""MB-13""]"	mixed outcome proxy; current route retains it with guard	shared batted-ball and UBR/GDP opportunity information	batted-ball direction, fielder and batter skill confound physical speed	residualize/stratify by ball context and preserve NOT_IDENTIFIABLE where unresolved	CURRENT_PROXY_WITH_OPEN_DECONFOUNDING	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""src/ratings/running.mjs"", ""docs/audits/sp019_construct_validity_reaudit_v2_20260813.md""]"	False
12	SP103-EV-012	outcome_proxy	GDP avoidance	opportunity_and_baserunning_proxy	IMPLEMENTED_INCOMPLETE	local batting database and running route	GDP avoidance	[]	data/pennant.db:batting.gdp;src/ratings/running.mjs	"{""batting_rows"": 17908}"	"[""SR-002"", ""SR-009"", ""SR-057""]"	"[""SP-019"", ""MB-13""]"	outcome context; not direct speed	shares plate-appearance, double-play and hitter-contact opportunity with other proxies	batter speed, contact/groundball profile, runners/base state and defense are confounded	retain as bounded/shrunken context; do not promote to direct physical truth	CURRENT_PROXY_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""src/ratings/running.mjs""]"	False
13	SP103-EV-013	outcome_proxy	triple rate	outcome_and_baserunning_proxy	IMPLEMENTED_INCOMPLETE	local batting database and audited route	triple rate	[]	data/pennant.db:batting.b3;configs/running_norms.json	"{""batting_rows"": 17908}"	"[""SR-002"", ""SR-009"", ""SR-057""]"	"[""SP-019"", ""MB-13""]"	mixed outcome proxy with separate legacy-control comparison	triple rate overlaps park, batted ball, fielding and baserunning advances	raw outcome is not a pure leg-speed measure	keep component separation test and no direct promotion	CURRENT_PROXY_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""docs/audits/sp019_proxy_deconfounding_reaudit_20260813.md""]"	False
14	SP103-EV-014	outcome_proxy	extra-base advancement / baserunning advances	decision_and_baserunning_context	IMPLEMENTED_INCOMPLETE	local event database with shrinkage repair	extra-base advancement / baserunning advances	[]	data/pennant.db:baserunning_advances;src/ratings/baserunning_advance.mjs	"{""advance_rows"": 22459}"	"[""SR-009"", ""SR-055"", ""SR-056""]"	"[""SP-018"", ""MB-13""]"	bounded opportunity-aware context	same runner events can feed UBR/BsR and extra-base outcomes	park, outs, hit location, fielder arm and choice are mixed	retain low-opportunity observations with continuous shrinkage and uncertainty	CURRENT_SHRUNK_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""src/ratings/baserunning_advance.mjs"", ""configs/running_norms.json""]"	False
15	SP103-EV-015	outcome_proxy	UBR / BsR-compatible measures	baserunning_outcome_value	IMPLEMENTED_INCOMPLETE	Baseball Monster-style local data and route	UBR / BsR-compatible measures	[]	data/pennant.db:bm_player.ubr/run_war;data/pennant.db:v_bm_by_player;src/ratings/running.mjs	"{""bm_player_rows"": 10431}"	"[""SR-002"", ""SR-009"", ""SR-057""]"	"[""SP-019"", ""MB-13"", ""MB-15""]"	outcome/defense context, not direct truth	UBR/BsR overlaps advances, steals, baserunning decisions and opportunities	model definition and league translation contain technique and context	use only as residual/context lane and audit removal effects	CURRENT_PROXY_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""src/ratings/running.mjs""]"	False
16	SP103-EV-016	outcome_proxy	DELTA / 1.02 Spd (Speed Score)	composite_outcome_proxy	SOURCE_CONFIRMED_NEW	official 1.02 glossary	DELTA / 1.02 Spd (Speed Score)	[]	no direct local DELTA/Spd row; source definition preserved	"{""local_rows"": 0, ""source_definition"": ""verified""}"	"[""SR-002"", ""SR-009"", ""SR-057"", ""SR-058""]"	"[""SP-101""]"	composite proxy only	SB success, attempts, triples and run/scoring frequency overlap other candidates	technique, opportunity, lineup and scoring environment are embedded	if collected, store components and never call it direct speed	SCOPED_NOT_COLLECTED_COMPOSITE_PROXY	SOURCE_CONFIRMED_NEW	"[""https://1point02.jp/op/gnav/glossary/gls_explanation.aspx?ecd=204&eid=20047""]"	False
17	SP103-EV-017	outcome_proxy	stolen-base outcomes / steal success	stealing_technique_and_opportunity	IMPLEMENTED_INCOMPLETE	local batting/catcher event data	stolen-base outcomes / steal success	[]	data/pennant.db:batting.sb/cs;data/pennant.db:catcher_steal_event	"{""batting_rows"": 17908, ""steal_event_rows"": 9240}"	"[""SR-002"", ""SR-009"", ""SR-019""]"	"[""SP-101"", ""MB-13""]"	technique/context lane separated from physical speed	lead distance, pitcher/catcher, game state and decision overlap	raw steals cannot identify pure running speed	keep in technique lane; use physical estimate without direct SB input	TECHNIQUE_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""docs/state/speed_exclusion_reason_ledger.tsv""]"	False
18	SP103-EV-018	outcome_proxy	Statcast Baserunning Run Value / analogous outcome value	baserunning_outcome_value	SOURCE_CONFIRMED_NEW	official MLB glossary/leaderboard	Statcast Baserunning Run Value / analogous outcome value	[]	no local eligible player-level Statcast run-value table	"{""local_rows"": 0, ""source_surface"": ""verified""}"	"[""SR-002"", ""SR-052"", ""SR-057""]"	"[""SP-101"", ""MB-13""]"	technique/context unless deconfounded	official model incorporates runner speed and other contextual inputs, creating circularity risk	not a pure physical metric and not reproducibly extracted for current NPB cohort	collect only with feature definition and deconfounding plan	NOT_COLLECTED_CONTEXT_OPPORTUNITY	SOURCE_CONFIRMED_NEW	"[""https://www.mlb.com/glossary/statcast/baserunning"", ""https://baseballsavant.mlb.com/leaderboard/basestealing-run-value""]"	False
19	SP103-EV-019	external_game	MLB The Show Live/base-roster Speed current and historical	external_appraisal_speed	IMPLEMENTED_INCOMPLETE	local The Show database and SP-101 longitudinal panel	MLB The Show Live/base-roster Speed current and historical	[]	data/pennant.db:the_show_rating;outputs/derived/sp101_the_show_live_player_year_panel.jsonl.gz	"{""panel_lines"": 3604, ""rating_rows"": 17476}"	"[""SR-023"", ""SR-024"", ""SR-060""]"	"[""SP-101"", ""MB-09""]"	appraisal/context only	same player-edition fields correlate by construction and are not physical ground truth	edition timing, roster carry-forward and cross-time confounding	retain current/historical values with edition/time gaps and no direct copy	SP101_CONTEXT_ONLY_NOT_FINAL_NUMERIC	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_the_show_live_player_year_panel.jsonl.gz"", ""data/pennant.db""]"	False
20	SP103-EV-020	external_game	MLB The Show roster-update Speed deltas	temporal_appraisal_delta	IMPLEMENTED_INCOMPLETE	local SP-101 roster-update events	MLB The Show roster-update Speed deltas	[]	outputs/derived/sp101_the_show_roster_update_speed_events.csv	"{""events"": 10}"	"[""SR-023"", ""SR-024"", ""SR-060""]"	"[""SP-101"", ""MB-09""]"	temporal context only	multiple updates may represent the same underlying editorial source	update timing and carry-forward labels are not a physical measurement	preserve event provenance and use only as bounded ordinal/context lane	SP101_CONTEXT_ONLY_NOT_FINAL_NUMERIC	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_the_show_roster_update_speed_events.csv""]"	False
21	SP103-EV-021	external_game	The Show Stealing and Baserunning Aggressiveness separate from Speed	technique_context	IMPLEMENTED_INCOMPLETE	local The Show fields and SP-101 semantic repair	The Show Stealing and Baserunning Aggressiveness separate from Speed	[]	data/pennant.db:the_show_rating.speed/baserunning_ability/baserunning_aggression;outputs/derived/sp101_current100_multibridge_evidence.json	"{""current100"": 100, ""rating_rows"": 17476}"	"[""SR-002"", ""SR-023"", ""SR-060""]"	"[""SP-101"", ""MB-02"", ""MB-16""]"	separate technique/context fields	Speed, Stealing and Aggression share game-editorial provenance but different constructs	game ratings are not physical truth	keep named fields separate and prohibit collapse into physical estimate	SEMANTICALLY_SEPARATED_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""outputs/derived/sp101_current100_multibridge_evidence.json""]"	False
22	SP103-EV-022	cross_game_transition	NPB→MLB Japanese-player transitions	league_transition_context	IMPLEMENTED_INCOMPLETE	SP-101 transition panel and MLB appearance sources	NPB→MLB Japanese-player transitions	[]	outputs/derived/sp101_npb_mlb_transition_segments.csv;outputs/derived/sp101_mlb_regular_season_appearance_years.csv	"{""transition_rows"": 80}"	"[""SR-011"", ""SR-023"", ""SR-024"", ""SR-060""]"	"[""SP-101"", ""MB-05""]"	transition/eligibility context	transition rows can reuse the same player-year The Show and MLB metrics	selection into MLB, time gaps and age/injury confound transfer	use explicit cohort and forward holdout; no lifetime average leakage	SP101_IMPLEMENTED_BOUNDED_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_npb_mlb_transition_segments.csv""]"	False
