source_id,player,team,source_platform,source_class,author_account,source_title,source_url,post_date,post_date_precision,retrieved_at,language,source_year,observation_period,exact_observation_subject,quote_excerpt,paraphrased_claim,directness,independence_group,evidence_strength,supports_faster_current_slower_mixed,temporal_relevance,physical_speed_only,is_repost,is_syndicated_copy,acceptance_status,exclusion_reason
SNSR001,西野 真弘,オリックス・バファローズ,BLUESKY,REJECTED_CANDIDATE,脱兎さん,Bluesky post on bunt hit and baserunning,https://bsky.app/profile/ak12nismostune.bsky.social/post/3lualhpdycw2r,2025-07-18,DAY,2026-08-10,ja,2025,same-day game,西野 真弘,最高のバントヒット＆走塁,"The post praises a bunt-hit sequence and baserunning judgment, not isolated running speed.",baserunning_outcome,YOUTUBE_0PzdpSS_PhU_NISHINO,none_for_physical_speed,not_directional,current_2025,false,false,false,REJECTED,BUNT_HIT_AND_BASERUNNING_JUDGMENT_CANNOT_BE_ISOLATED_TO_PHYSICAL_SPEED
SNSR002,西野 真弘,オリックス・バファローズ,BLUESKY,REJECTED_CANDIDATE,NPB HUB,Bluesky post about an article profile,https://bsky.app/profile/npbhub.bsky.social/post/3llzyjg5udv2j,2025-04-05,DAY,2026-08-10,ja,2025,career profile through 2024,西野 真弘,俊足巧打,"A reposted profile calls Nishino fast, without a current direct running observation.",reposted_general_profile,FULLCOUNT_PROFILE_20250405_NISHINO,weak,faster,profile_not_direct_current_measurement,false,true,false,REJECTED,REPOST_NOT_INDEPENDENT_AND_NO_DIRECT_CURRENT_PHYSICAL_SPEED_OBSERVATION
SNSR003,カリステ,中日ドラゴンズ,BLUESKY,REJECTED_CANDIDATE,ヒゲ編,Bluesky post on aggressive baserunning,https://bsky.app/profile/higehen.bsky.social/post/3ls6pvzccyk2t,2025-06-22,DAY,2026-08-10,ja,2025,2025 game context,カリステ,アグレッシブな走塁,The post evaluates aggression and baserunning style rather than physical speed.,baserunning_style,BSKY_HIGEHEN_20250622_CALIXTE,none_for_physical_speed,not_directional,current_2025,false,false,false,REJECTED,BASERUNNING_STYLE_NOT_ISOLATED_PHYSICAL_SPEED
SNSR004,カリステ,中日ドラゴンズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,週刊ベースボールONLINE,2024 player assessment,https://column.sp.baseball.findfriends.jp/?from=related_info_column&id=097-20240518-10&pid=column_detail,2024-05-18,DAY,2026-08-10,ja,2024,2023-2024 professional profile,カリステ,足が速いし,A contemporary reporter assessment explicitly calls Calixte fast.,explicit_qualitative_speed_description,WEEKLY_BASEBALL_20240518_CALIXTE,moderate,faster,contemporary_2024,true,false,false,ACCEPTED,
SNSR005,土田 龍空,中日ドラゴンズ,PUBLIC_WEB_POST,SNS,i5vr18LY0,Public live-comment observation,https://blog.livedoor.jp/nanjstu/archives/62312702.html,2025-04-25,DAY,2026-08-10,ja,2025,2025 early season,土田 龍空,足が遅い,One public observer explicitly describes Tsuchida as slow.,explicit_qualitative_speed_description,PUBLIC_COMMENT_20250425_TSUTSUDA,weak_to_moderate,slower,current_2025,true,false,false,ACCEPTED,
SNSR006,土田 龍空,中日ドラゴンズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,Full-Count / 藤井淳志 interview,Former teammate interview,https://full-count.jp/2021/11/28/post1161189/2/,2021-11-28,DAY,2026-08-10,ja,2021,2021 rookie period,土田 龍空,足が遅い,A former teammate described Tsuchida as slow in 2021.,direct_observer_description,FUJII_INTERVIEW_20211128_TSUTSUDA,moderate_historical,slower,historical_context_only_2021,true,false,false,ACCEPTED,
SNSR007,土田 龍空,中日ドラゴンズ,SPORTS_ARTICLE,REJECTED_CANDIDATE,週刊ベースボール選手名鑑,Amateur first-base arrival profile,https://sp.baseball.findfriends.jp/player/20020054/,,NOT_PUBLICLY_DISPLAYED,2026-08-10,ja,2026,high-school era,土田 龍空,一塁到達4.27秒,The profile reports an amateur home-to-first transition time.,transition_time,BBM_AMATEUR_TRANSITION_TSUTSUDA,excluded_metric,faster,historical_and_construct_mismatch,false,false,false,REJECTED,HOME_TO_FIRST_TRANSITION_TIME_CANNOT_BE_CONVERTED_TO_CURRENT_PHYSICAL_SPEED
SNSR008,大島 洋平,中日ドラゴンズ,BLUESKY,REJECTED_CANDIDATE,room-kazu,Bluesky post on infield hit,https://bsky.app/profile/room-kazu.com/post/3lp5np4t4q224,2025-05-14,DAY,2026-08-10,ja,2025,same-day game,大島 洋平,俊足を飛ばして内野安打,The post bases a speed label on a home-to-first result.,home_to_first_outcome,OSHIMA_20250514_INFIELD_HIT,excluded_transition,faster,current_2025,false,false,false,REJECTED,HOME_TO_FIRST_OUTCOME_MIXES_TRANSITION_AND_PLAY_CONTEXT
SNSR009,大島 洋平,中日ドラゴンズ,BLUESKY,REJECTED_CANDIDATE,しおんたそ,Bluesky observation of an all-out run,https://bsky.app/profile/shion28.bsky.social/post/3mkajoxo7mk2c,2026-04-24,DAY,2026-08-10,ja,2026,same-day game,大島 洋平,ベテランの激走,One observer characterizes Oshima's current all-out run as a forceful fast run.,qualitative_observation_of_running,OSHIMA_20260424_RUN,moderate,current,current_2026,false,false,false,REJECTED,SINGLE_GAME_RUNNING_DESCRIPTION_CANNOT_ISOLATE_PHYSICAL_SPEED_FROM_BASERUNNING_AND_PLAY_CONTEXT
SNSR010,大島 洋平,中日ドラゴンズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,ニッポン放送 / 山本昌,Radio commentary article,https://news.1242.com/article/545606,2026-04-22,DAY,2026-08-10,ja,2026,2026 April,大島 洋平,足は全然大丈夫,"A former teammate said Oshima's legs remain sound, without asserting a new ordinal position.",expert_current_leg_condition_comment,YAMAMOTO_20260422_OSHIMA,moderate,current,current_2026,true,false,false,ACCEPTED,
