requirement_id	module	requirement	origin	status	implementation_gate
PW-001	CORE	内部は深く表面操作はパワプロ程度に簡単にする	JOINT	BASELINE	DESIGN
PW-002	CORE	数十年〜100年でも同じ攻略法・勢力図・制度に固定されない	JOINT	BASELINE	DESIGN
PW-003	CORE	自然発生を優先しご都合覚醒・ジンクス等を避ける	JOINT	BASELINE	DESIGN
PW-004	CORE	真の能力と観測成績を分ける	JOINT	BASELINE	DESIGN
PW-005	CORE	組織実力と評判を分ける	OWNER	REQUESTED	DESIGN
PW-006	CORE	CPUだけhidden truthを読まない	JOINT	BASELINE	DESIGN
PW-007	CPU	全CPU球団は本気で長期的優勝を目指す	OWNER	ACCEPTED	DESIGN
PW-008	CPU	勝つ気がない無気力経営はゲーム仕様として排除する	OWNER	ACCEPTED	DESIGN
PW-009	CPU	低迷時は必ず戦略・人事・組織を再評価する	JOINT	BASELINE	DESIGN
PW-010	UX	業務ごとに手動・方針指定・完全自動を切替可能	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-011	UX	自操作球団ではプレイヤーがGM/監督より最終決定権を持つ	OWNER	ACCEPTED	DESIGN
PW-012	UX	任せた領域だけスタッフ能力・思想を反映する	JOINT	ACCEPTED	DESIGN
PW-013	UX	重要案件だけ自動進行を停止できる	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-014	UX	全CPU観戦・途中から球団操作・観戦復帰を可能にする	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-015	LIFECYCLE	固定早熟/普通/晩成を人生の主決定変数にしない	JOINT	BASELINE	DESIGN
PW-016	LIFECYCLE	能力別NPB実測aging curveを使用する	JOINT	BASELINE	RESEARCH
PW-017	LIFECYCLE	persistent player-specific成長・衰え差を持つ	JOINT	BASELINE	RESEARCH
PW-018	LIFECYCLE	小さいannual development shockを持つ	ASSISTANT	PROPOSED	RESEARCH
PW-019	LIFECYCLE	将来性を固定能力capではなく確率分布として持つ	JOINT	BASELINE	DESIGN
PW-020	LIFECYCLE	実在選手は開始時点までの履歴から本人傾向を更新可能	ASSISTANT	PROPOSED	RESEARCH
PW-021	LIFECYCLE	generated rookieは実測母集団から個人差をsampleする	ASSISTANT	PROPOSED	RESEARCH
PW-022	LIFECYCLE	単年成績悪化をそのまま能力低下にしない	JOINT	BASELINE	DESIGN
PW-023	LIFECYCLE	調子・疲労・運とlatent abilityを分離する	JOINT	BASELINE	DESIGN
PW-024	LIFECYCLE	遅咲き・期待外れ・急落・長寿・復活等を自然発生させる	OWNER	REQUESTED	DESIGN
PW-025	DEVELOPMENT	一軍で高レベル相手にもがく経験をゲーム的に低効率扱いしない	OWNER	ACCEPTED	DESIGN
PW-026	DEVELOPMENT	能力不足若手の一軍起用costは主に勝率・興行・財務へ出す	OWNER	ACCEPTED	DESIGN
PW-027	DEVELOPMENT	一軍ベンチ漬けより二軍で大量実戦が育成上有利になり得る	JOINT	BASELINE	RESEARCH
PW-028	DEVELOPMENT	出場経験効果は逓減し無限成長を防ぐ	ASSISTANT	PROPOSED	RESEARCH
PW-029	DEVELOPMENT	登録日数でなく実打席/BF/IP/役割を見る	JOINT	BASELINE	DESIGN
PW-030	DEVELOPMENT	二軍成績を能力成長の直接原因にしない	JOINT	BASELINE	DESIGN
PW-031	DEVELOPMENT	二軍年度成績・通算・タイトル・昇格履歴を保存する	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-032	DEVELOPMENT	育成方針は自然成長方向へのbiasとして使う	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-033	DEVELOPMENT	全選手への毎年手動育成指定を不要にする	JOINT	BASELINE	DESIGN
PW-034	DEVELOPMENT	特定選手のみ重点育成可能	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-035	DEVELOPMENT	重点育成対象が多すぎるとコーチ資源が薄まる	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-036	POSITION	強打一塁/外野/三塁を二遊間/捕手へ移して打撃そのまま無双する攻略を防ぐ	OWNER	ACCEPTED	DESIGN
PW-037	POSITION	コンバートに守備習熟・身体負荷・認知負荷・練習負荷を持たせる	JOINT	BASELINE	RESEARCH
PW-038	POSITION	守備負担が疲労等を介して実効打撃へ影響する	OWNER	REQUESTED	RESEARCH
PW-039	POSITION	遊撃→三塁→一塁→代打等で選手寿命を延ばせる	JOINT	BASELINE	DESIGN
PW-040	POSITION	捕手の高い負荷を打撃発揮・疲労へ反映する	OWNER	REQUESTED	RESEARCH
PW-041	POSITION	投手の先発/救援転向に役割・育成方向の違いを持たせる	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-042	MECHANICS	投球フォーム変更を見た目だけでなく能力構造へ作用させる	OWNER	ACCEPTED	DESIGN
PW-043	MECHANICS	160km/h投手を見た目変更だけで160km/hアンダーにできないようにする	OWNER	ACCEPTED	DESIGN
PW-044	MECHANICS	arm slot/release/stride/extension等から球速・変化・制球等を再計算する	JOINT	BASELINE	RESEARCH
PW-045	MECHANICS	アンダー等に固定最大球速capを置かず個体差を許す	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-046	MECHANICS	打撃フォーム変更にもコンタクト/長打/三振等への意味を持たせる	OWNER	ACCEPTED	DESIGN
PW-047	MECHANICS	Cosmetic form changeとMechanical changeを分離する	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-048	CAMP	春季キャンプを技術改造の主要期間にする	JOINT	BASELINE	DESIGN
PW-049	CAMP	春季キャンプに特別・臨時コーチを招聘できる	OWNER	REQUESTED	DESIGN
PW-050	CAMP	臨時コーチは単純能力+ではなく改造適性発見・成功/撤退判断等に効く	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-051	PITCH	新球習得・既存球種改良を実装する	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-052	PITCH	新球習得は成功保証せず未定着・武器化等を持つ	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-053	DRAFT	ドラフトを長期人材供給システムとして扱う	JOINT	BASELINE	DESIGN
PW-054	DRAFT	高校/大学/社会人/独立を固定成長型でなく年齢・完成度・情報量で差別化	JOINT	BASELINE	DESIGN
PW-055	DRAFT	ドラフト候補の真の能力とスカウト評価を分離する	JOINT	BASELINE	DESIGN
PW-056	DRAFT	CPUもhidden真値でなく自球団スカウト情報を使う	JOINT	BASELINE	DESIGN
PW-057	DRAFT	全球団ごとに独自draft boardを持つ	JOINT	BASELINE	DESIGN
PW-058	DRAFT	スカウトは能力/将来性をrangeとconfidenceで報告する	JOINT	BASELINE	DESIGN
PW-059	DRAFT	調査を重ねるほどrangeが狭くなるが完全真値にはならない	JOINT	BASELINE	DESIGN
PW-060	DRAFT	毎週細かなscout point操作を要求しない	JOINT	BASELINE	DESIGN
PW-061	DRAFT	少数の重点調査候補を指定できる	JOINT	BASELINE	DESIGN
PW-062	DRAFT	メディアprospect rankingを別系統で持つ	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-063	DRAFT	BPAとteam needsを両方考慮する	JOINT	BASELINE	DESIGN
PW-064	DRAFT	上位指名ほどBPA寄り下位ほどneeds/role/lottery ticketを重視可能	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-065	DRAFT	competitive windowで即戦力/素材評価が変わる	JOINT	BASELINE	DESIGN
PW-066	DRAFT	豊作/不作を固定ボーナスでなく生成結果として自然発生させる	JOINT	BASELINE	DESIGN
PW-067	DRAFT	投手豊作・大学投手豊作等カテゴリ別豊作も自然発生	JOINT	BASELINE	DESIGN
PW-068	DRAFT	能力間に現実的相関を持たせ万能超人乱造を防ぐ	JOINT	BASELINE	RESEARCH
PW-069	DRAFT	選手タイプは生成templateより生成後の説明labelを基本にする	JOINT	BASELINE	DESIGN
PW-070	DRAFT	アマ成績を簡略生成し観測情報として見せる	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-071	DRAFT	育成ドラフトで一芸型を重要候補にする	JOINT	BASELINE	DESIGN
PW-072	DRAFT	指名漏れ選手を消さず大学/社会人/独立で再登場可能	JOINT	BASELINE	DESIGN
PW-073	DRAFT	一度生成したprospectの人物史を永続化する	JOINT	BASELINE	DESIGN
PW-074	DRAFT	ドラフト時の世間評価/自球団評価/指名順位を永久保存	JOINT	BASELINE	DESIGN
PW-075	DRAFT	ドラフト世代の後年振り返りページを作る	JOINT	BASELINE	DESIGN
PW-076	STAFF	GMと監督をCPU球団では別人格にする	OWNER	ACCEPTED	DESIGN
PW-077	STAFF	自操作球団ではGM/監督の権限を自由に決める	OWNER	ACCEPTED	DESIGN
PW-078	STAFF	GMに評価能力・戦略思想差を持たせる	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-079	STAFF	低能力GMをランダムAIではなく評価/計画誤差として表現	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-080	STAFF	監督能力と監督思想を分離する	JOINT	BASELINE	DESIGN
PW-081	STAFF	コーチは本人自然成長より従属的な方向/効率効果にする	JOINT	BASELINE	DESIGN
PW-082	STAFF	スカウトごとに現在/将来/投手/野手/外国人/怪我等の得意差	ASSISTANT	PROPOSED	OWNER_REVIEW
PW-083	STAFF	引退選手の一部がコーチ/監督/GMへ転身する	JOINT	BASELINE	DESIGN
PW-084	STAFF	名選手=名コーチにはしない	JOINT	BASELINE	DESIGN
